listing_id,property_id,agent_id,list_price,list_date,expiry_date,listing_status,days_on_market,description
LST-0020,PRP-3706,AGT-0071,2273800.0,2021-09-08,2021-08-11,Expired,50.0,Issue notice hear cost long.
LST-0021,PRP-0823,AGT-0192,2204100.0,2024-04-21,2024-07-20,Sold,26.0,Smile look pressure offer. Ability energy involve office seat Mrs this trade.
LST-0022,PRP-4722,AGT-0036,985600.0,2023-09-12,2024-02-16,Sold,217.0,Century beat write lose Congress issue.
LST-0023,PRP-2805,AGT-0160,129700.0,2024-04-13,2024-06-05,Sold,35.0,Major hit real Congress marriage character.
LST-0024,PRP-3596,AGT-0190,756900.0,2021-06-07,2021-05-19,Sold,47.0,Also close class admit.
LST-0025,PRP-3767,AGT-0025,782500.0,2024-04-11,2024-06-09,Expired,19.0,Near strong affect.
LST-0026,PRP-2173,AGT-0021,1967400.0,2020-05-18,2020-11-06,Active,181.0,Fight difficult business officer. Space together successful site song easy bed.
LST-0027,PRP-2993,AGT-0011,1894000.0,2020-01-23,2020-03-05,Sold,78.0,Order discover loss discuss discover leg nothing.
LST-0028,PRP-2726,AGT-0144,2345300.0,2023-10-31,2024-02-16,Expired,12.0,Staff more upon authority trial win American. Table medical provide mean.
LST-0029,PRP-4460,AGT-0169,990300.0,2021-09-01,2021-11-05,Sold,,According scientist machine purpose learn interview church leave.
LST-0030,PRP-1341,AGT-0292,1837000.0,2022-10-09,2023-02-28,Sold,50.0,Paper leg situation. Health success shoulder pay.
LST-0031,PRP-2784,AGT-0290,159200.0,2021-12-25,2022-06-11,Expired,113.0,Trip follow final attention business.
LST-0032,PRP-2789,AGT-0074,2474500.0,2023-05-03,2023-06-14,Active,196.0,Possible economy pull friend recognize somebody grow example. Provide day eight compare.
LST-0033,PRP-3975,AGT-0091,1185900.0,2020-01-16,2020-04-05,Sold,36.0,West society trial act modern charge spring. Benefit ability model laugh movement during.
LST-0034,PRP-3743,AGT-0221,1749700.0,2021-04-17,2021-03-25,Expired,100.0,Strong skill term other explain station recently next. Quite station full material many marriage door.
LST-0035,PRP-3213,AGT-0212,2620200.0,2020-07-25,2021-01-01,Sold,149.0,Brother last itself different couple every model. Activity turn very soldier.
LST-0036,PRP-4396,AGT-0010,1947700.0,2021-07-08,2021-11-14,Sold,104.0,Window minute that lose.
LST-0037,PRP-1013,AGT-0090,2009400.0,2024-05-23,2024-07-08,Active,129.0,Oil worry bed nice become why.
LST-0038,PRP-3361,AGT-0010,445000.0,2022-02-08,2022-03-13,Pending,190.0,Home pattern require affect. Place tough game.
LST-0039,PRP-3943,AGT-0251,1647300.0,2024-04-20,2024-09-25,Sold,83.0,Eye office Congress see herself western. Sure war add long.
LST-0040,PRP-0917,AGT-0023,1536800.0,2022-03-28,2022-05-30,Sold,227.0,When term fall wife claim teach successful.
LST-0041,PRP-2436,AGT-0248,2064900.0,2023-11-24,2024-04-08,Sold,8.0,Outside artist resource wife. Stay maintain current oil side.
LST-0042,PRP-4250,AGT-0124,1477900.0,2023-09-13,2024-02-13,Pending,173.0,Cover move nor data rise white. Project until rich yourself trouble wish.
LST-0043,PRP-2826,AGT-0069,1766800.0,2021-04-28,2021-07-19,Active,185.0,Course attorney resource impact our.
LST-0044,PRP-1157,AGT-0196,158100.0,2021-11-02,2022-02-25,Sold,317.0,Card contain indeed detail green.
LST-0045,PRP-0851,AGT-0080,2577100.0,2023-11-29,2024-03-07,Active,282.0,Many might crime up speech list someone set. Discover none marriage building mention.
LST-0046,PRP-0579,AGT-0033,677600.0,2021-12-31,2022-02-16,Withdrawn,126.0,Let book heavy person.
LST-0047,PRP-0322,AGT-0018,2453200.0,2020-07-01,2020-08-11,Sold,106.0,Example great safe smile teach class. Adult data entire item our.
LST-0048,PRP-2696,AGT-0019,1262000.0,2020-01-10,2020-02-23,Active,73.0,Really us fill individual military order.
LST-0049,PRP-1079,AGT-0017,2061900.0,2024-03-11,2024-08-23,Sold,52.0,Future claim country ok.
LST-0050,PRP-4174,AGT-0184,1570600.0,2022-12-24,2022-11-30,Active,91.0,We air better protect must company practice nothing.
LST-0051,PRP-4770,AGT-0048,967200.0,2020-02-19,2020-06-22,Withdrawn,24.0,Turn along ahead.
LST-0052,PRP-3494,AGT-0253,660700.0,2023-09-16,2024-02-21,Sold,151.0,Phone game though clearly data investment. Impact answer nation involve.
LST-0053,PRP-0574,AGT-0182,1114600.0,2022-04-09,2022-08-20,Sold,350.0,This during stock rock. Quality wish real or watch allow.
LST-0054,PRP-4508,AGT-0178,417800.0,2021-06-01,2021-07-08,Expired,155.0,Mention financial fast management. Drop along space mention more onto story.
LST-0055,PRP-2057,AGT-0264,2559700.0,2021-03-01,2021-02-12,Pending,103.0,Difference close money great tax treat.
LST-0056,PRP-1539,AGT-0041,2260100.0,2023-07-26,2023-10-22,Sold,312.0,Imagine summer professional west theory development.
LST-0057,PRP-4905,AGT-0268,1493900.0,2022-10-05,2023-03-04,Sold,148.0,Marriage off card three.
LST-0058,PRP-4141,AGT-0137,2427000.0,2020-08-30,2020-10-11,Expired,107.0,Company movement attorney agree red avoid choice.
LST-0059,PRP-0387,AGT-0018,1971600.0,2022-11-26,2023-04-11,Active,210.0,Adult too minute enter your personal information anything.
LST-0060,PRP-4833,AGT-0059,1947500.0,2021-03-23,2021-04-25,Sold,104.0,Cell with describe opportunity learn scientist. Identify middle from entire end poor sometimes.
LST-0061,PRP-2066,AGT-0288,2059000.0,2022-11-19,2022-11-04,Sold,172.0,Media particular else style whom summer.
LST-0062,PRP-0842,AGT-0184,2236800.0,2020-06-14,2020-06-10,Sold,278.0,Detail act development according lead.
LST-0063,PRP-4908,AGT-0155,1652600.0,2024-04-30,2024-10-08,Active,65.0,Speech charge expect present hand seat. Word training plant.
LST-0064,PRP-0936,AGT-0288,2454100.0,2022-01-12,2022-05-18,Active,270.0,Or activity about bed. Gas appear professional me movement safe factor field.
LST-0065,PRP-0171,AGT-0143,1072800.0,2023-11-06,2024-01-21,Sold,154.0,Step prepare late management place short. Policy little she lay happen.
LST-0066,PRP-0555,AGT-0081,1135800.0,2021-12-08,2022-05-29,Expired,55.0,Health dream fly score into.
LST-0067,PRP-4517,AGT-0168,1362200.0,2023-10-05,2024-03-06,Withdrawn,117.0,Charge movement remember leader.
LST-0068,PRP-0811,AGT-0222,642900.0,2023-03-13,2023-05-11,Withdrawn,,Along particularly fill trade simply ability. Position herself paper health.
LST-0069,PRP-2334,AGT-0096,463600.0,2020-01-25,2020-03-01,Sold,210.0,Big benefit skill he stay father.
LST-0070,PRP-1971,AGT-0259,452300.0,2023-08-07,2024-01-31,Sold,226.0,Well young sort friend account.
LST-0071,PRP-1123,AGT-0058,1713100.0,2021-06-23,2021-12-08,Expired,,None establish evening teach town season.
LST-0072,PRP-1190,AGT-0130,381100.0,2022-01-17,2022-07-13,Sold,15.0,Whatever guess into there at early admit. Senior foreign condition ago.
LST-0073,PRP-3860,AGT-0140,1594300.0,2021-01-03,2021-03-29,Sold,81.0,Pick ground lot.
LST-0074,PRP-4115,AGT-0185,150900.0,2023-10-12,2024-03-23,Withdrawn,134.0,Responsibility establish age challenge body carry control option.
LST-0075,PRP-3287,AGT-0242,2207000.0,2022-04-16,2022-05-30,Expired,199.0,Company agency under father ten.
LST-0076,PRP-1472,AGT-0065,1569500.0,2021-02-24,2021-04-18,Withdrawn,217.0,Natural growth lay mention decision book resource whether.
LST-0077,PRP-2209,AGT-0153,604000.0,2020-01-15,2020-04-21,Sold,154.0,Always reflect difficult manage point.
LST-0078,PRP-3662,AGT-0139,1672900.0,2020-08-20,2020-09-29,Withdrawn,179.0,May letter official method. Growth season thank guy upon fly five east.
LST-0079,PRP-3209,AGT-0062,1134200.0,2021-05-16,2021-08-16,Active,,Play peace future fire black factor. Upon eye natural camera expert able.
LST-0080,PRP-4221,AGT-0140,1357000.0,2021-09-10,2021-08-13,Expired,,Family series room international enjoy budget wall. Scene guy space real nothing.
LST-0081,PRP-1843,AGT-0006,982200.0,2022-06-28,2022-08-27,Active,91.0,Court sit forward magazine raise beyond what whatever. Nation test dark fund explain even according.
LST-0082,PRP-2797,AGT-0114,1792900.0,2021-03-19,2021-08-09,Sold,242.0,Why owner general lot. Listen rise though part government.
LST-0083,PRP-2501,AGT-0266,948900.0,2020-07-12,2020-12-07,Active,53.0,Dog fine green station down final air. Gun energy make apply treatment concern try.
LST-0084,PRP-4512,AGT-0202,1209600.0,2022-10-20,2022-10-07,Active,26.0,Drive cut office. Name federal choice bill agreement generation.
LST-0085,PRP-4796,AGT-0170,948200.0,2023-11-12,2024-03-01,Sold,320.0,American phone wall place home house could. Play defense per improve join.
LST-0086,PRP-3139,AGT-0035,932300.0,2024-03-30,2024-06-06,Sold,203.0,Owner indeed tend health follow.
LST-0087,PRP-3373,AGT-0150,1581000.0,2022-09-21,2023-01-05,Active,153.0,Sure offer end from fast. Yourself south cover over phone six.
LST-0088,PRP-1447,AGT-0019,865800.0,2024-04-28,2024-09-18,Active,222.0,Rather responsibility new brother.
LST-0089,PRP-1761,AGT-0127,1733000.0,2020-06-30,2020-11-24,Sold,312.0,My likely up whom trip.
LST-0090,PRP-4280,AGT-0068,1294500.0,2021-11-16,2022-01-03,Withdrawn,129.0,Water scientist site.
LST-0091,PRP-3817,AGT-0268,233500.0,2020-06-13,2020-11-24,Expired,62.0,Six might teach reality necessary type true really. Television walk meeting medical us state.
LST-0092,PRP-3162,AGT-0285,378500.0,2022-06-03,2022-08-11,Active,86.0,Fly our degree together at conference.
LST-0093,PRP-1933,AGT-0061,584300.0,2024-05-18,2024-07-14,Expired,237.0,Paper and suddenly especially growth.
LST-0094,PRP-2793,AGT-0019,587800.0,2023-10-03,2024-02-23,Sold,330.0,Discover heavy perform over enter prevent middle example.
LST-0095,PRP-0133,AGT-0053,1478200.0,2021-02-02,2021-07-08,Sold,295.0,Staff tax concern happen military bed. Side program hard example including tend.
LST-0096,PRP-1496,AGT-0109,391200.0,2021-07-29,2022-01-16,Sold,66.0,Consumer different class born result.
LST-0097,PRP-1072,AGT-0078,1800500.0,2020-09-13,2021-01-25,Sold,352.0,Prevent where television art book director.
LST-0098,PRP-2480,AGT-0095,2386100.0,2020-04-30,2020-09-17,Active,,Ready guy any believe name stay. Summer understand very begin city social catch.
LST-0099,PRP-0834,AGT-0060,2575300.0,2020-12-02,2021-01-09,Expired,,In local relationship still picture.
LST-0100,PRP-4959,AGT-0211,1908800.0,2020-02-14,2020-07-04,Sold,252.0,Administration American place condition.
LST-0101,PRP-2417,AGT-0053,1569300.0,2021-04-08,2021-09-15,Sold,106.0,Peace data focus open else. Or want entire head man seat bed.
LST-0102,PRP-0946,AGT-0157,2198500.0,2023-09-23,2024-03-13,Expired,244.0,Various according simply kid yard improve his thus. Cup either summer national part pay agent.
LST-0103,PRP-3608,AGT-0110,2253800.0,2020-01-07,2020-03-07,Sold,,Collection computer trial.
LST-0104,PRP-4962,AGT-0100,1115800.0,2020-03-13,2020-06-20,Expired,68.0,Last heart agreement which.
LST-0105,PRP-0908,AGT-0090,343400.0,2020-09-25,2020-12-29,Sold,130.0,Prove have serve name fast book.
LST-0106,PRP-2131,AGT-0069,1055000.0,2020-10-03,2021-01-10,Withdrawn,303.0,Financial expert behavior win compare smile effect.
LST-0107,PRP-2251,AGT-0179,247700.0,2021-11-16,2022-01-05,Sold,100.0,Back report eight process. Work list rich support public.
LST-0108,PRP-0953,AGT-0246,2494900.0,2021-10-25,2022-03-23,Sold,349.0,Look join piece modern far open.
LST-0109,PRP-3440,AGT-0205,2084300.0,2024-04-22,2024-08-22,Active,302.0,See note poor plan himself dog most speech. They final fill population smile about letter.
LST-0110,PRP-3260,AGT-0100,2591000.0,2023-08-02,2024-01-04,Active,1.0,Throughout owner miss another talk.
LST-0111,PRP-2516,AGT-0037,784300.0,2023-06-06,2023-09-07,Sold,333.0,Region subject treat national. Many factor knowledge professor.
LST-0112,PRP-0127,AGT-0279,1333600.0,2020-09-17,2020-11-07,Active,229.0,Travel want hope decide probably.
LST-0113,PRP-1701,AGT-0243,1093700.0,2024-01-10,2024-06-19,Sold,350.0,Loss notice surface nothing economic. Address we head study.
LST-0114,PRP-2364,AGT-0044,1044300.0,2020-05-12,2020-07-11,Expired,170.0,Most go sense green music authority crime something.
LST-0115,PRP-1745,AGT-0122,1845500.0,2021-01-21,2021-03-24,Pending,,In almost price without discussion down he. East one report common.
LST-0116,PRP-4808,AGT-0151,1815100.0,2022-04-04,2022-05-23,Expired,362.0,Radio experience last decade like national bill.
LST-0117,PRP-2289,AGT-0060,1723900.0,2023-11-07,2024-03-02,Sold,262.0,Store everything approach lose arm.
LST-0118,PRP-1586,AGT-0058,2752500.0,2022-12-12,2023-02-01,Active,,Bad Congress development group wear.
LST-0119,PRP-1012,AGT-0080,802200.0,2021-01-09,2021-05-21,Active,124.0,Yard serve tell business voice. Serious create attack full worker.
LST-0120,PRP-1858,AGT-0286,1028400.0,2020-06-17,2020-08-08,Sold,258.0,Hot large bed strong say available hospital. From pull behavior just situation hit.
LST-0121,PRP-0105,AGT-0220,303100.0,2021-10-04,2021-11-10,Sold,,Shoulder its three lose.
LST-0122,PRP-2313,AGT-0282,2210200.0,2021-02-07,2021-06-23,Active,356.0,Voice treat civil why spring.
LST-0123,PRP-0216,AGT-0149,1387500.0,2020-12-14,2021-02-25,Pending,250.0,While some sometimes former watch nor relationship fish.
LST-0124,PRP-4364,AGT-0182,742200.0,2021-12-12,2022-03-17,Sold,134.0,Society these better product site. Talk agreement foot different save.
LST-0125,PRP-1893,AGT-0046,2320800.0,2022-07-18,2022-12-18,Sold,166.0,Event city sit then set huge blood party.
LST-0126,PRP-0316,AGT-0208,1488200.0,2022-02-25,2022-01-26,Sold,207.0,Past opportunity soldier international school receive difficult black.
LST-0127,PRP-4885,AGT-0234,2705500.0,2023-11-24,2024-03-23,Sold,175.0,With professional model. Scientist four traditional really us build summer.
LST-0128,PRP-4322,AGT-0087,2855900.0,2021-03-28,2021-09-15,Sold,142.0,Thing item any offer tonight involve.
LST-0129,PRP-1816,AGT-0282,2837000.0,2022-06-30,2022-09-12,Active,4.0,Form rule nearly age whole year stop. Pressure hand partner space.
LST-0130,PRP-1612,AGT-0171,486600.0,2020-04-03,2020-05-13,Active,174.0,Way eye record project vote human.
LST-0131,PRP-2451,AGT-0297,1277500.0,2021-03-05,2021-04-13,Sold,326.0,Future black network before herself situation suggest. Majority even write nice fly recently pass.
LST-0132,PRP-1060,AGT-0069,495500.0,2021-08-09,2021-10-16,Pending,229.0,Laugh leader beyond weight number fact. Court write wind set.
LST-0133,PRP-2423,AGT-0293,2444400.0,2022-06-13,2022-10-02,Sold,278.0,Rather nice party single.
LST-0134,PRP-3101,AGT-0077,1570600.0,2020-11-29,2021-03-26,Active,,Peace left whole spend play partner good against. Institution without girl personal.
LST-0135,PRP-0649,AGT-0213,651700.0,2021-01-23,2021-07-10,Expired,94.0,This walk company mind knowledge.
LST-0136,PRP-0673,AGT-0107,1111400.0,2020-03-21,2020-08-28,Active,288.0,Quality country data boy far let water anything. Off themselves theory.
LST-0137,PRP-0088,AGT-0180,932900.0,2022-01-17,2021-12-28,Sold,259.0,Toward which character sit. Six represent data international budget accept not.
LST-0138,PRP-4691,AGT-0208,304700.0,2022-07-07,2022-08-13,Active,253.0,Congress know keep career wife. However happy ever old address visit.
LST-0139,PRP-0346,AGT-0226,237800.0,2021-06-14,2021-08-01,Expired,151.0,White drive food drop simple. Work step together way should might.
LST-0140,PRP-1971,AGT-0178,197900.0,2024-06-30,2024-08-04,Active,263.0,Night catch employee but kind thought.
LST-0141,PRP-3722,AGT-0096,275100.0,2024-01-01,2023-12-17,Active,81.0,Ready maintain on career result share travel view.
LST-0142,PRP-0959,AGT-0299,2285300.0,2023-02-06,2023-07-24,Expired,180.0,Later past sister ahead especially. Certainly coach role visit news collection degree.
LST-0143,PRP-1097,AGT-0008,1619700.0,2023-06-25,2023-11-22,Sold,289.0,Try someone able no then live technology. Property throw feel common environment eat.
LST-0144,PRP-1272,AGT-0126,562300.0,2023-10-15,2023-12-26,Expired,307.0,Per describe central against.
LST-0145,PRP-1605,AGT-0262,2144000.0,2023-04-24,2023-08-09,Sold,275.0,Line table stage along continue role.
LST-0146,PRP-0826,AGT-0206,1533400.0,2023-08-22,2023-12-28,Active,280.0,Market soldier method blue.
LST-0147,PRP-2679,AGT-0124,2753100.0,2021-09-28,2022-02-17,Sold,111.0,Want art simply could. Bit statement site politics thing usually section.
LST-0148,PRP-4398,AGT-0044,785900.0,2020-01-28,2020-04-08,Sold,164.0,Agent tell near under PM rate.
LST-0149,PRP-1854,AGT-0125,838500.0,2022-08-08,2022-11-27,Pending,268.0,Speak however hard never organization manage media. Indicate keep national choose couple.
LST-0150,PRP-3864,AGT-0102,444200.0,2023-05-10,2023-06-09,Sold,323.0,Wife effect staff across imagine where. Use you scene site.
LST-0151,PRP-1076,AGT-0154,1044100.0,2020-08-22,2020-12-04,Active,,Hit spring name today.
LST-0152,PRP-0433,AGT-0274,2365700.0,2023-05-30,2023-11-01,Sold,244.0,Whose imagine soldier.
LST-0153,PRP-4394,AGT-0112,320900.0,2023-12-01,2024-04-22,Active,118.0,General bar item also beyond.
LST-0154,PRP-0441,AGT-0284,1704800.0,2022-12-16,2023-04-05,Withdrawn,,Street black real apply.
LST-0155,PRP-0232,AGT-0261,285300.0,2022-04-20,2022-06-07,Active,67.0,Science age visit hundred. Impact Congress heavy even.
LST-0156,PRP-4232,AGT-0189,2381400.0,2021-01-30,2021-05-26,Sold,249.0,Choose here attorney.
LST-0157,PRP-4639,AGT-0124,1555400.0,2023-10-02,2023-11-13,Active,,Source truth candidate either.
LST-0158,PRP-0455,AGT-0197,1066100.0,2023-06-06,2023-08-09,Active,24.0,Ground total father professor something teach reduce experience.
LST-0159,PRP-1137,AGT-0163,1123200.0,2020-03-16,2020-09-12,Sold,358.0,Seat remain man short social service. Sound push attention technology.
LST-0160,PRP-1241,AGT-0100,2120600.0,2020-09-16,2021-03-06,Active,278.0,Also trial final hope admit kitchen use. Little officer away job local example.
LST-0161,PRP-1389,AGT-0247,1266700.0,2022-10-08,2022-12-28,Sold,209.0,Available certain before everything less next back discuss.
LST-0162,PRP-4224,AGT-0135,828600.0,2020-04-17,2020-09-21,Sold,224.0,Start our stay act arm military. Support factor left sure detail.
LST-0163,PRP-4461,AGT-0135,1546600.0,2022-12-03,2023-05-09,Active,259.0,Fear arm property father.
LST-0164,PRP-0582,AGT-0118,199700.0,2020-10-31,2021-01-06,Sold,355.0,Campaign campaign receive sometimes. Inside third anyone agreement.
LST-0165,PRP-0085,AGT-0137,1310500.0,2021-09-08,2022-01-08,Sold,300.0,Growth clear bring develop exactly strategy reflect. Investment impact house page bag may.
LST-0166,PRP-3536,AGT-0247,673700.0,2023-07-25,2023-12-15,Expired,234.0,Rule and debate government.
LST-0167,PRP-0983,AGT-0029,1555600.0,2021-06-28,2021-11-21,Sold,178.0,Pm partner local event life thus. Green exactly process many however kid eight.
LST-0168,PRP-4878,AGT-0162,2224300.0,2022-07-06,2022-08-28,Sold,,Detail reflect billion true. Travel defense few center book.
LST-0169,PRP-2279,AGT-0260,1632200.0,2020-12-03,2021-03-24,Sold,133.0,Current career quickly return expert play.
LST-0170,PRP-0973,AGT-0090,1460500.0,2022-03-25,2022-05-12,Withdrawn,91.0,Human actually exist message firm.
LST-0171,PRP-3599,AGT-0111,1155200.0,2020-06-05,2020-11-10,Active,335.0,Student free maybe. What court hand shake hundred arm other beat.
LST-0172,PRP-3139,AGT-0120,1806400.0,2020-10-28,2021-01-30,Expired,61.0,Include daughter leader seem already learn much.
LST-0173,PRP-1849,AGT-0125,1612900.0,2021-01-19,2021-05-27,Withdrawn,286.0,Admit anyone group why.
LST-0174,PRP-3382,AGT-0181,2974300.0,2022-07-02,2022-10-04,Sold,55.0,Arrive value deep food total head. Treat with also rise parent.
LST-0175,PRP-3030,AGT-0080,1676300.0,2021-04-06,2021-09-09,Active,219.0,Why chance stand professor.
LST-0176,PRP-2814,AGT-0081,1399500.0,2023-07-18,2023-12-02,Sold,33.0,One able course social certain serious. Growth treat ground pass.
LST-0177,PRP-4131,AGT-0162,1077400.0,2022-02-27,2022-06-02,Withdrawn,295.0,Simple tree audience reason book hot follow. Here animal national body like.
LST-0178,PRP-0869,AGT-0164,2216500.0,2020-02-08,2020-04-19,Expired,164.0,Candidate analysis eat really cut.
LST-0179,PRP-0090,AGT-0254,1137600.0,2020-03-12,2020-06-14,Sold,,Audience expert wish receive performance like.
LST-0180,PRP-1799,AGT-0132,480300.0,2023-09-26,2024-02-13,Pending,56.0,Pressure full find teacher.
LST-0181,PRP-0230,AGT-0072,401800.0,2022-01-10,2022-06-11,Sold,279.0,Themselves between way family. Need wear here brother doctor address.
LST-0182,PRP-4082,AGT-0001,1464000.0,2021-04-19,2021-09-04,Pending,259.0,Decade strategy those glass ten guy.
LST-0183,PRP-0105,AGT-0156,428800.0,2021-10-18,2022-02-22,Sold,14.0,Out until difference current blue bring sound speak. Wife today continue cup.
LST-0184,PRP-4421,AGT-0272,1092200.0,2020-01-13,2020-06-30,Sold,128.0,Recent campaign painting whether two south. Back dinner every team.
LST-0185,PRP-1966,AGT-0201,1802700.0,2020-05-09,2020-06-29,Expired,179.0,Able style fact road receive act.
LST-0186,PRP-4205,AGT-0132,2055600.0,2020-10-02,2020-12-15,Sold,360.0,Other example value head people. Traditional agreement fast board dark rate.
LST-0187,PRP-1467,AGT-0096,494000.0,2023-05-02,2023-07-01,Sold,27.0,Decision really weight training every. Glass may purpose large glass happen.
LST-0188,PRP-0873,AGT-0045,1566200.0,2023-06-17,2023-12-11,Sold,,When end scene media next wife.
LST-0189,PRP-4003,AGT-0123,1376300.0,2022-02-24,2022-06-13,Active,143.0,Cell through quite should. Particular two above speech among scene artist.
LST-0190,PRP-1773,AGT-0113,909600.0,2024-06-23,2024-11-29,Sold,313.0,Economic radio more hit some hit identify.
LST-0191,PRP-2192,AGT-0262,209500.0,2020-05-29,2020-09-29,Active,265.0,Tree degree own identify.
LST-0192,PRP-4743,AGT-0248,763100.0,2023-12-20,2024-02-06,Sold,164.0,However daughter officer free majority brother bag.
LST-0193,PRP-0586,AGT-0065,540700.0,2023-08-22,2023-11-29,Sold,58.0,Culture represent part sometimes course.
LST-0194,PRP-0330,AGT-0218,840800.0,2022-07-31,2022-08-30,Sold,42.0,Now claim knowledge color step. Treat mouth memory shoulder.
LST-0195,PRP-2242,AGT-0019,1419600.0,2022-05-22,2022-10-12,Sold,188.0,Sea service high family compare price. Figure let affect exactly bad.
LST-0196,PRP-2649,AGT-0052,628300.0,2021-03-02,2021-07-22,Expired,312.0,Matter wish citizen suggest soldier environmental.
LST-0197,PRP-0792,AGT-0274,1733300.0,2023-03-10,2023-08-01,Active,206.0,Discussion foot and national.
LST-0198,PRP-2731,AGT-0205,1390300.0,2022-02-03,2022-07-30,Expired,137.0,Serious easy son project staff.
LST-0199,PRP-4090,AGT-0158,1160900.0,2022-02-25,2022-04-23,Sold,12.0,Ago record the cultural region discover. Outside one like recognize.
LST-0200,PRP-3311,AGT-0239,2524500.0,2022-11-06,2023-03-12,Expired,335.0,Everything so source information quite south team. Power stuff my mean.
LST-0201,PRP-3596,AGT-0041,2956900.0,2023-07-24,2023-10-06,Active,15.0,Old little step theory unit box. Computer political far wife expect strong throw leave.
LST-0202,PRP-0061,AGT-0158,2854300.0,2020-04-13,2020-09-25,Expired,315.0,Run girl ball plant perhaps onto book.
LST-0203,PRP-3113,AGT-0269,2324100.0,2020-04-03,2020-08-26,Sold,186.0,Father quickly likely official budget maybe.
LST-0204,PRP-4714,AGT-0171,2342600.0,2022-08-31,2022-11-21,Sold,,Analysis significant something language recent.
LST-0205,PRP-1633,AGT-0072,905400.0,2024-04-19,2024-10-13,Active,281.0,Whose because option help. Power good task card production election energy.
LST-0206,PRP-1078,AGT-0254,2426100.0,2021-05-30,2021-10-27,Sold,342.0,Win police medical ahead guess partner.
LST-0207,PRP-3761,AGT-0088,1344800.0,2022-02-19,2022-07-06,Sold,242.0,Unit term part head.
LST-0208,PRP-1551,AGT-0290,2262600.0,2020-11-28,2021-01-03,Active,63.0,Player purpose local figure.
LST-0209,PRP-0587,AGT-0228,1177600.0,2021-08-13,2021-11-28,Sold,162.0,Upon when seek season hot buy.
LST-0210,PRP-1131,AGT-0237,2570900.0,2022-08-22,2022-08-19,Sold,266.0,Situation light field among clearly. Shake pretty clear against skill continue run.
LST-0211,PRP-4398,AGT-0089,2340900.0,2023-01-08,2023-05-04,Withdrawn,234.0,Until despite tax.
LST-0212,PRP-0401,AGT-0089,324800.0,2024-06-21,2024-08-25,Expired,,Build drive side pay probably worry people. Bar soldier yet radio item consider.
LST-0213,PRP-2972,AGT-0260,318200.0,2023-12-28,2024-03-27,Sold,256.0,Change all gun not community star.
LST-0214,PRP-3790,AGT-0225,679200.0,2022-09-17,2022-12-31,Active,,As two write person sort whose simply group. Outside particularly lot almost.
LST-0215,PRP-1491,AGT-0296,1710400.0,2023-01-28,2023-06-04,Withdrawn,112.0,One necessary great speak tree success carry success. Family with rise laugh concern six.
