feature_id,property_id,feature_name,feature_value
FTR-00047,PRP-0014,stainless_appliances,YES
FTR-00048,PRP-0014,granite_counters,0
FTR-00049,PRP-0015,central_ac,0
FTR-00050,PRP-0015,smart_home,Yes
FTR-00051,PRP-0015,vaulted_ceilings,Yes
FTR-00052,PRP-0015,hardwood_floors,no
FTR-00053,PRP-0015,open_floor_plan,no
FTR-00054,PRP-0015,solar_panels,yes
FTR-00055,PRP-0016,smart_home,1
FTR-00056,PRP-0016,fresh_paint,0
FTR-00057,PRP-0016,central_ac,1
FTR-00058,PRP-0016,vaulted_ceilings,Yes
FTR-00059,PRP-0017,walk_in_closet,0
FTR-00060,PRP-0017,master_suite,no
FTR-00061,PRP-0017,stainless_appliances,yes
FTR-00062,PRP-0017,central_ac,Yes
FTR-00063,PRP-0018,granite_counters,yes
FTR-00064,PRP-0018,fireplace,0
FTR-00065,PRP-0018,updated_kitchen,1
FTR-00066,PRP-0018,new_roof,no
FTR-00067,PRP-0018,hardwood_floors,no
FTR-00068,PRP-0018,solar_panels,1
FTR-00069,PRP-0019,walk_in_closet,Yes
FTR-00070,PRP-0019,smart_home,YES
FTR-00071,PRP-0020,fireplace,0
FTR-00072,PRP-0020,central_ac,1
FTR-00073,PRP-0020,vaulted_ceilings,YES
FTR-00074,PRP-0021,solar_panels,1
FTR-00075,PRP-0021,open_floor_plan,yes
FTR-00076,PRP-0021,central_ac,0
FTR-00077,PRP-0021,fireplace,no
FTR-00078,PRP-0021,hardwood_floors,0
FTR-00079,PRP-0021,walk_in_closet,YES
FTR-00080,PRP-0022,open_floor_plan,Yes
FTR-00081,PRP-0022,central_ac,YES
FTR-00082,PRP-0022,stainless_appliances,no
FTR-00083,PRP-0022,solar_panels,Yes
FTR-00084,PRP-0022,new_roof,1
FTR-00085,PRP-0022,fresh_paint,0
FTR-00086,PRP-0023,fresh_paint,no
FTR-00087,PRP-0023,open_floor_plan,yes
FTR-00088,PRP-0023,smart_home,yes
FTR-00089,PRP-0023,updated_kitchen,1
FTR-00090,PRP-0024,walk_in_closet,1
FTR-00091,PRP-0024,vaulted_ceilings,yes
FTR-00092,PRP-0024,fireplace,yes
FTR-00093,PRP-0024,open_floor_plan,YES
FTR-00094,PRP-0024,central_ac,1
FTR-00095,PRP-0024,fresh_paint,no
FTR-00096,PRP-0025,new_roof,Yes
FTR-00097,PRP-0025,stainless_appliances,yes
FTR-00098,PRP-0025,fireplace,Yes
FTR-00099,PRP-0025,solar_panels,Yes
FTR-00100,PRP-0025,vaulted_ceilings,0
FTR-00101,PRP-0025,smart_home,yes
FTR-00102,PRP-0026,fireplace,YES
FTR-00103,PRP-0026,walk_in_closet,0
FTR-00104,PRP-0026,central_ac,1
FTR-00105,PRP-0026,new_roof,yes
FTR-00106,PRP-0026,solar_panels,YES
FTR-00107,PRP-0026,granite_counters,no
FTR-00108,PRP-0027,granite_counters,yes
FTR-00109,PRP-0027,master_suite,Yes
FTR-00110,PRP-0027,fresh_paint,yes
FTR-00111,PRP-0028,updated_kitchen,yes
FTR-00112,PRP-0028,walk_in_closet,no
FTR-00113,PRP-0028,master_suite,YES
FTR-00114,PRP-0028,solar_panels,yes
FTR-00115,PRP-0029,fireplace,1
FTR-00116,PRP-0029,open_floor_plan,0
FTR-00117,PRP-0029,solar_panels,0
FTR-00118,PRP-0030,hardwood_floors,1
FTR-00119,PRP-0030,vaulted_ceilings,no
FTR-00120,PRP-0030,walk_in_closet,yes
FTR-00121,PRP-0031,updated_kitchen,1
FTR-00122,PRP-0031,walk_in_closet,yes
FTR-00123,PRP-0031,central_ac,Yes
FTR-00124,PRP-0031,master_suite,YES
FTR-00125,PRP-0031,new_roof,1
FTR-00126,PRP-0031,granite_counters,0
FTR-00127,PRP-0032,new_roof,0
FTR-00128,PRP-0032,vaulted_ceilings,yes
FTR-00129,PRP-0032,hardwood_floors,0
FTR-00130,PRP-0032,central_ac,Yes
FTR-00131,PRP-0033,open_floor_plan,1
FTR-00132,PRP-0033,walk_in_closet,yes
FTR-00133,PRP-0034,fireplace,yes
FTR-00134,PRP-0034,walk_in_closet,yes
FTR-00135,PRP-0034,central_ac,1
FTR-00136,PRP-0034,stainless_appliances,YES
FTR-00137,PRP-0035,solar_panels,Yes
FTR-00138,PRP-0035,fresh_paint,no
FTR-00139,PRP-0035,vaulted_ceilings,Yes
FTR-00140,PRP-0036,central_ac,YES
FTR-00141,PRP-0036,smart_home,Yes
FTR-00142,PRP-0036,new_roof,yes
FTR-00143,PRP-0036,hardwood_floors,yes
FTR-00144,PRP-0036,updated_kitchen,YES
FTR-00145,PRP-0036,walk_in_closet,1
FTR-00146,PRP-0037,solar_panels,0
FTR-00147,PRP-0037,fireplace,Yes
FTR-00148,PRP-0037,hardwood_floors,yes
FTR-00149,PRP-0037,central_ac,no
FTR-00150,PRP-0037,new_roof,yes
FTR-00151,PRP-0037,vaulted_ceilings,0
FTR-00152,PRP-0038,walk_in_closet,1
FTR-00153,PRP-0038,fresh_paint,0
FTR-00154,PRP-0039,fresh_paint,0
FTR-00155,PRP-0039,updated_kitchen,yes
FTR-00156,PRP-0039,stainless_appliances,1
FTR-00157,PRP-0039,walk_in_closet,0
FTR-00158,PRP-0040,solar_panels,no
FTR-00159,PRP-0040,hardwood_floors,YES
FTR-00160,PRP-0040,master_suite,YES
FTR-00161,PRP-0040,new_roof,no
FTR-00162,PRP-0041,smart_home,0
FTR-00163,PRP-0041,fireplace,Yes
FTR-00164,PRP-0041,open_floor_plan,1
FTR-00165,PRP-0041,solar_panels,Yes
FTR-00166,PRP-0041,stainless_appliances,YES
FTR-00167,PRP-0042,fireplace,1
FTR-00168,PRP-0042,smart_home,YES
FTR-00169,PRP-0042,stainless_appliances,YES
FTR-00170,PRP-0042,walk_in_closet,1
FTR-00171,PRP-0043,master_suite,Yes
FTR-00172,PRP-0043,fireplace,1
FTR-00173,PRP-0043,new_roof,Yes
FTR-00174,PRP-0044,updated_kitchen,Yes
FTR-00175,PRP-0044,open_floor_plan,no
FTR-00176,PRP-0045,stainless_appliances,yes
FTR-00177,PRP-0045,granite_counters,YES
FTR-00178,PRP-0045,vaulted_ceilings,1
FTR-00179,PRP-0045,hardwood_floors,Yes
FTR-00180,PRP-0045,master_suite,Yes
FTR-00181,PRP-0046,central_ac,yes
FTR-00182,PRP-0046,granite_counters,no
FTR-00183,PRP-0046,hardwood_floors,yes
FTR-00184,PRP-0047,updated_kitchen,yes
FTR-00185,PRP-0047,smart_home,Yes
FTR-00186,PRP-0047,granite_counters,yes
FTR-00187,PRP-0047,stainless_appliances,0
FTR-00188,PRP-0048,hardwood_floors,yes
FTR-00189,PRP-0048,fireplace,Yes
FTR-00190,PRP-0048,updated_kitchen,1
FTR-00191,PRP-0048,central_ac,YES
FTR-00192,PRP-0048,open_floor_plan,1
FTR-00193,PRP-0048,fresh_paint,yes
FTR-00194,PRP-0049,walk_in_closet,1
FTR-00195,PRP-0049,granite_counters,no
FTR-00196,PRP-0049,updated_kitchen,yes
FTR-00197,PRP-0049,stainless_appliances,yes
FTR-00198,PRP-0050,vaulted_ceilings,1
FTR-00199,PRP-0050,central_ac,0
FTR-00200,PRP-0050,granite_counters,no
FTR-00201,PRP-0051,solar_panels,1
FTR-00202,PRP-0051,new_roof,YES
FTR-00203,PRP-0051,updated_kitchen,0
FTR-00204,PRP-0051,hardwood_floors,no
FTR-00205,PRP-0052,hardwood_floors,0
FTR-00206,PRP-0052,granite_counters,0
FTR-00207,PRP-0052,stainless_appliances,YES
FTR-00208,PRP-0052,fireplace,yes
FTR-00209,PRP-0052,central_ac,YES
FTR-00210,PRP-0053,master_suite,Yes
FTR-00211,PRP-0053,granite_counters,1
FTR-00212,PRP-0053,vaulted_ceilings,1
FTR-00213,PRP-0053,stainless_appliances,no
FTR-00214,PRP-0053,solar_panels,yes
FTR-00215,PRP-0053,new_roof,Yes
FTR-00216,PRP-0054,new_roof,0
FTR-00217,PRP-0054,fireplace,0
FTR-00218,PRP-0054,solar_panels,0
FTR-00219,PRP-0054,stainless_appliances,yes
FTR-00220,PRP-0055,vaulted_ceilings,yes
FTR-00221,PRP-0055,hardwood_floors,0
FTR-00222,PRP-0055,granite_counters,YES
FTR-00223,PRP-0055,solar_panels,1
FTR-00224,PRP-0056,smart_home,yes
FTR-00225,PRP-0056,solar_panels,0
FTR-00226,PRP-0056,hardwood_floors,YES
FTR-00227,PRP-0056,new_roof,Yes
FTR-00228,PRP-0057,walk_in_closet,0
FTR-00229,PRP-0057,updated_kitchen,YES
FTR-00230,PRP-0057,master_suite,YES
FTR-00231,PRP-0057,central_ac,Yes
FTR-00232,PRP-0057,smart_home,yes
FTR-00233,PRP-0057,vaulted_ceilings,no
FTR-00234,PRP-0058,fireplace,no
FTR-00235,PRP-0058,hardwood_floors,yes
FTR-00236,PRP-0058,granite_counters,yes
FTR-00237,PRP-0058,updated_kitchen,YES
FTR-00238,PRP-0058,fresh_paint,0
FTR-00239,PRP-0058,new_roof,yes
FTR-00240,PRP-0059,stainless_appliances,no
FTR-00241,PRP-0059,master_suite,YES
FTR-00242,PRP-0059,central_ac,0
FTR-00243,PRP-0060,open_floor_plan,0
FTR-00244,PRP-0060,stainless_appliances,no
FTR-00245,PRP-0061,fireplace,Yes
FTR-00246,PRP-0061,open_floor_plan,1
FTR-00247,PRP-0061,updated_kitchen,Yes
FTR-00248,PRP-0061,smart_home,yes
FTR-00249,PRP-0062,master_suite,Yes
FTR-00250,PRP-0062,smart_home,yes
FTR-00251,PRP-0062,solar_panels,no
FTR-00252,PRP-0062,fireplace,1
FTR-00253,PRP-0062,open_floor_plan,0
FTR-00254,PRP-0062,updated_kitchen,Yes
FTR-00255,PRP-0063,granite_counters,YES
FTR-00256,PRP-0063,master_suite,1
FTR-00257,PRP-0064,central_ac,0
FTR-00258,PRP-0064,vaulted_ceilings,1
FTR-00259,PRP-0064,updated_kitchen,YES
FTR-00260,PRP-0064,walk_in_closet,0
FTR-00261,PRP-0064,fresh_paint,YES
FTR-00262,PRP-0064,fireplace,YES
FTR-00263,PRP-0065,fireplace,YES
FTR-00264,PRP-0065,granite_counters,YES
FTR-00265,PRP-0065,central_ac,Yes
FTR-00266,PRP-0065,new_roof,0
FTR-00267,PRP-0065,hardwood_floors,1
FTR-00268,PRP-0065,stainless_appliances,yes
FTR-00269,PRP-0066,hardwood_floors,0
FTR-00270,PRP-0066,central_ac,no
FTR-00271,PRP-0067,open_floor_plan,yes
FTR-00272,PRP-0067,solar_panels,0
FTR-00273,PRP-0067,updated_kitchen,0
FTR-00274,PRP-0067,walk_in_closet,YES
FTR-00275,PRP-0068,open_floor_plan,0
FTR-00276,PRP-0068,hardwood_floors,YES
FTR-00277,PRP-0068,granite_counters,YES
FTR-00278,PRP-0068,vaulted_ceilings,Yes
FTR-00279,PRP-0068,updated_kitchen,YES
FTR-00280,PRP-0069,solar_panels,1
FTR-00281,PRP-0069,open_floor_plan,0
FTR-00282,PRP-0069,fireplace,Yes
FTR-00283,PRP-0069,new_roof,1
FTR-00284,PRP-0070,fireplace,1
FTR-00285,PRP-0070,central_ac,0
FTR-00286,PRP-0070,fresh_paint,0
FTR-00287,PRP-0070,updated_kitchen,0
FTR-00288,PRP-0071,stainless_appliances,1
FTR-00289,PRP-0071,fresh_paint,YES
FTR-00290,PRP-0071,vaulted_ceilings,YES
FTR-00291,PRP-0071,granite_counters,YES
FTR-00292,PRP-0072,open_floor_plan,YES
FTR-00293,PRP-0072,walk_in_closet,yes
FTR-00294,PRP-0072,solar_panels,1
FTR-00295,PRP-0072,hardwood_floors,yes
FTR-00296,PRP-0073,master_suite,no
FTR-00297,PRP-0073,walk_in_closet,Yes
FTR-00298,PRP-0073,central_ac,YES
FTR-00299,PRP-0073,hardwood_floors,no
FTR-00300,PRP-0073,new_roof,1
FTR-00301,PRP-0074,new_roof,1
FTR-00302,PRP-0074,fresh_paint,yes
FTR-00303,PRP-0074,fireplace,Yes
FTR-00304,PRP-0074,open_floor_plan,yes
FTR-00305,PRP-0075,vaulted_ceilings,1
FTR-00306,PRP-0075,new_roof,Yes
FTR-00307,PRP-0076,stainless_appliances,1
FTR-00308,PRP-0076,walk_in_closet,YES
FTR-00309,PRP-0076,new_roof,YES
FTR-00310,PRP-0076,smart_home,0
FTR-00311,PRP-0076,master_suite,YES
FTR-00312,PRP-0077,stainless_appliances,0
FTR-00313,PRP-0077,fireplace,1
FTR-00314,PRP-0078,updated_kitchen,0
FTR-00315,PRP-0078,granite_counters,yes
FTR-00316,PRP-0078,master_suite,yes
FTR-00317,PRP-0078,hardwood_floors,no
FTR-00318,PRP-0079,open_floor_plan,YES
FTR-00319,PRP-0079,central_ac,no
FTR-00320,PRP-0079,fireplace,YES
FTR-00321,PRP-0080,walk_in_closet,YES
FTR-00322,PRP-0080,granite_counters,yes
FTR-00323,PRP-0081,vaulted_ceilings,Yes
FTR-00324,PRP-0081,fireplace,Yes
FTR-00325,PRP-0081,master_suite,1
FTR-00326,PRP-0082,updated_kitchen,1
FTR-00327,PRP-0082,fireplace,1
FTR-00328,PRP-0082,master_suite,YES
FTR-00329,PRP-0083,solar_panels,yes
FTR-00330,PRP-0083,walk_in_closet,0
FTR-00331,PRP-0083,granite_counters,no
FTR-00332,PRP-0083,stainless_appliances,0
FTR-00333,PRP-0083,master_suite,Yes
FTR-00334,PRP-0083,fireplace,Yes
FTR-00335,PRP-0084,walk_in_closet,yes
FTR-00336,PRP-0084,fresh_paint,1
FTR-00337,PRP-0084,fireplace,no
FTR-00338,PRP-0084,smart_home,yes
FTR-00339,PRP-0084,stainless_appliances,0
FTR-00340,PRP-0084,updated_kitchen,0
FTR-00341,PRP-0085,open_floor_plan,yes
FTR-00342,PRP-0085,stainless_appliances,no
FTR-00343,PRP-0085,walk_in_closet,Yes
FTR-00344,PRP-0085,fireplace,yes
FTR-00345,PRP-0086,updated_kitchen,1
FTR-00346,PRP-0086,central_ac,Yes
FTR-00347,PRP-0086,vaulted_ceilings,0
FTR-00348,PRP-0086,fresh_paint,0
FTR-00349,PRP-0086,smart_home,1
FTR-00350,PRP-0086,granite_counters,YES
FTR-00351,PRP-0087,fireplace,0
FTR-00352,PRP-0087,granite_counters,Yes
FTR-00353,PRP-0088,master_suite,Yes
FTR-00354,PRP-0088,solar_panels,Yes
FTR-00355,PRP-0089,central_ac,0
FTR-00356,PRP-0089,master_suite,no
FTR-00357,PRP-0089,updated_kitchen,0
FTR-00358,PRP-0089,smart_home,yes
FTR-00359,PRP-0089,hardwood_floors,1
FTR-00360,PRP-0089,new_roof,0
FTR-00361,PRP-0090,granite_counters,YES
FTR-00362,PRP-0090,master_suite,YES
FTR-00363,PRP-0090,hardwood_floors,Yes
FTR-00364,PRP-0090,smart_home,no
FTR-00365,PRP-0090,fireplace,Yes
FTR-00366,PRP-0090,open_floor_plan,1
FTR-00367,PRP-0091,granite_counters,Yes
FTR-00368,PRP-0091,solar_panels,Yes
FTR-00369,PRP-0091,stainless_appliances,0
FTR-00370,PRP-0091,central_ac,no
FTR-00371,PRP-0092,central_ac,yes
FTR-00372,PRP-0092,fresh_paint,Yes
FTR-00373,PRP-0093,central_ac,YES
FTR-00374,PRP-0093,master_suite,0
FTR-00375,PRP-0094,open_floor_plan,YES
FTR-00376,PRP-0094,walk_in_closet,Yes
FTR-00377,PRP-0095,smart_home,no
FTR-00378,PRP-0095,open_floor_plan,no
FTR-00379,PRP-0095,fresh_paint,YES
FTR-00380,PRP-0095,fireplace,YES
FTR-00381,PRP-0095,master_suite,yes
FTR-00382,PRP-0095,central_ac,0
FTR-00383,PRP-0096,central_ac,yes
FTR-00384,PRP-0096,fireplace,Yes
FTR-00385,PRP-0097,hardwood_floors,0
FTR-00386,PRP-0097,stainless_appliances,yes
FTR-00387,PRP-0097,central_ac,Yes
FTR-00388,PRP-0097,smart_home,1
FTR-00389,PRP-0097,master_suite,1
FTR-00390,PRP-0098,granite_counters,Yes
FTR-00391,PRP-0098,vaulted_ceilings,YES
FTR-00392,PRP-0098,open_floor_plan,0
FTR-00393,PRP-0098,central_ac,0
FTR-00394,PRP-0098,stainless_appliances,0
FTR-00395,PRP-0099,smart_home,no
FTR-00396,PRP-0099,granite_counters,0
FTR-00397,PRP-0099,master_suite,Yes
FTR-00398,PRP-0099,new_roof,YES
FTR-00399,PRP-0099,fireplace,yes
FTR-00400,PRP-0099,walk_in_closet,1
FTR-00401,PRP-0100,master_suite,yes
FTR-00402,PRP-0100,hardwood_floors,0
FTR-00403,PRP-0100,open_floor_plan,no
FTR-00404,PRP-0101,stainless_appliances,1
FTR-00405,PRP-0101,smart_home,1
FTR-00406,PRP-0102,walk_in_closet,yes
FTR-00407,PRP-0102,fresh_paint,YES
FTR-00408,PRP-0102,master_suite,no
FTR-00409,PRP-0102,solar_panels,YES
FTR-00410,PRP-0103,fresh_paint,1
FTR-00411,PRP-0103,updated_kitchen,no
FTR-00412,PRP-0103,granite_counters,Yes
FTR-00413,PRP-0103,new_roof,yes
FTR-00414,PRP-0103,stainless_appliances,Yes
FTR-00415,PRP-0104,stainless_appliances,Yes
FTR-00416,PRP-0104,granite_counters,0
FTR-00417,PRP-0104,open_floor_plan,0
FTR-00418,PRP-0104,central_ac,YES
FTR-00419,PRP-0104,master_suite,yes
FTR-00420,PRP-0105,fresh_paint,yes
FTR-00421,PRP-0105,fireplace,Yes
FTR-00422,PRP-0105,central_ac,yes
FTR-00423,PRP-0106,stainless_appliances,0
FTR-00424,PRP-0106,hardwood_floors,no
FTR-00425,PRP-0106,fresh_paint,yes
FTR-00426,PRP-0106,smart_home,YES
FTR-00427,PRP-0106,fireplace,0
FTR-00428,PRP-0107,fireplace,Yes
FTR-00429,PRP-0107,master_suite,no
FTR-00430,PRP-0107,solar_panels,1
FTR-00431,PRP-0107,smart_home,YES
FTR-00432,PRP-0107,central_ac,YES
FTR-00433,PRP-0107,granite_counters,0
FTR-00434,PRP-0108,fresh_paint,yes
FTR-00435,PRP-0108,open_floor_plan,1
FTR-00436,PRP-0109,fireplace,yes
FTR-00437,PRP-0109,central_ac,no
FTR-00438,PRP-0109,solar_panels,no
FTR-00439,PRP-0109,hardwood_floors,yes
FTR-00440,PRP-0109,new_roof,no
FTR-00441,PRP-0109,smart_home,Yes
FTR-00442,PRP-0110,hardwood_floors,yes
FTR-00443,PRP-0110,stainless_appliances,0
FTR-00444,PRP-0110,walk_in_closet,1
FTR-00445,PRP-0110,central_ac,0
FTR-00446,PRP-0110,fresh_paint,0
FTR-00447,PRP-0110,granite_counters,yes
FTR-00448,PRP-0111,open_floor_plan,0
FTR-00449,PRP-0111,new_roof,Yes
FTR-00450,PRP-0111,updated_kitchen,Yes
FTR-00451,PRP-0111,smart_home,yes
FTR-00452,PRP-0111,hardwood_floors,Yes
FTR-00453,PRP-0111,granite_counters,YES
FTR-00454,PRP-0112,fireplace,Yes
FTR-00455,PRP-0112,smart_home,1
FTR-00456,PRP-0112,new_roof,Yes
FTR-00457,PRP-0113,smart_home,Yes
FTR-00458,PRP-0113,central_ac,no
FTR-00459,PRP-0114,solar_panels,1
FTR-00460,PRP-0114,smart_home,0
FTR-00461,PRP-0114,walk_in_closet,yes
FTR-00462,PRP-0114,master_suite,1
FTR-00463,PRP-0114,central_ac,Yes
FTR-00464,PRP-0114,fireplace,yes
FTR-00465,PRP-0115,solar_panels,1
FTR-00466,PRP-0115,fireplace,Yes
FTR-00467,PRP-0115,updated_kitchen,1
FTR-00468,PRP-0115,granite_counters,yes
FTR-00469,PRP-0116,walk_in_closet,1
FTR-00470,PRP-0116,central_ac,yes
FTR-00471,PRP-0116,fresh_paint,YES
FTR-00472,PRP-0117,new_roof,1
FTR-00473,PRP-0117,stainless_appliances,yes
FTR-00474,PRP-0117,master_suite,no
FTR-00475,PRP-0118,new_roof,0
FTR-00476,PRP-0118,stainless_appliances,1
FTR-00477,PRP-0118,smart_home,YES
FTR-00478,PRP-0118,vaulted_ceilings,no
FTR-00479,PRP-0118,master_suite,YES
FTR-00480,PRP-0118,open_floor_plan,YES
FTR-00481,PRP-0119,granite_counters,yes
FTR-00482,PRP-0119,fresh_paint,no
FTR-00483,PRP-0119,vaulted_ceilings,yes
FTR-00484,PRP-0119,master_suite,yes
FTR-00485,PRP-0120,new_roof,0
FTR-00486,PRP-0120,open_floor_plan,yes
FTR-00487,PRP-0120,fresh_paint,YES
FTR-00488,PRP-0120,updated_kitchen,0
FTR-00489,PRP-0120,granite_counters,Yes
FTR-00490,PRP-0121,fireplace,YES
FTR-00491,PRP-0121,central_ac,YES
FTR-00492,PRP-0121,open_floor_plan,YES
FTR-00493,PRP-0122,smart_home,YES
FTR-00494,PRP-0122,open_floor_plan,yes
FTR-00495,PRP-0122,granite_counters,yes
FTR-00496,PRP-0123,new_roof,yes
FTR-00497,PRP-0123,updated_kitchen,0
FTR-00498,PRP-0123,master_suite,YES
FTR-00499,PRP-0123,granite_counters,no
FTR-00500,PRP-0124,fireplace,no
FTR-00501,PRP-0124,fresh_paint,yes
FTR-00502,PRP-0124,master_suite,YES
FTR-00503,PRP-0124,central_ac,0
FTR-00504,PRP-0124,smart_home,0
FTR-00505,PRP-0124,stainless_appliances,0
FTR-00506,PRP-0125,granite_counters,YES
FTR-00507,PRP-0125,fresh_paint,0
FTR-00508,PRP-0125,new_roof,0
FTR-00509,PRP-0125,vaulted_ceilings,1
FTR-00510,PRP-0125,master_suite,1
FTR-00511,PRP-0126,master_suite,yes
FTR-00512,PRP-0126,vaulted_ceilings,Yes
FTR-00513,PRP-0126,solar_panels,YES
FTR-00514,PRP-0127,stainless_appliances,1
FTR-00515,PRP-0127,fireplace,0
FTR-00516,PRP-0127,master_suite,YES
FTR-00517,PRP-0127,updated_kitchen,1
FTR-00518,PRP-0128,walk_in_closet,yes
FTR-00519,PRP-0128,smart_home,0
FTR-00520,PRP-0128,granite_counters,yes
FTR-00521,PRP-0128,vaulted_ceilings,YES
FTR-00522,PRP-0129,updated_kitchen,Yes
FTR-00523,PRP-0129,granite_counters,0
FTR-00524,PRP-0130,open_floor_plan,Yes
FTR-00525,PRP-0130,smart_home,yes
FTR-00526,PRP-0130,central_ac,Yes
FTR-00527,PRP-0130,granite_counters,YES
FTR-00528,PRP-0130,vaulted_ceilings,no
FTR-00529,PRP-0130,walk_in_closet,no
FTR-00530,PRP-0131,fresh_paint,0
FTR-00531,PRP-0131,granite_counters,0
FTR-00532,PRP-0132,central_ac,1
FTR-00533,PRP-0132,open_floor_plan,1
FTR-00534,PRP-0132,granite_counters,no
FTR-00535,PRP-0133,vaulted_ceilings,YES
FTR-00536,PRP-0133,central_ac,Yes
FTR-00537,PRP-0133,fireplace,no
FTR-00538,PRP-0134,solar_panels,Yes
FTR-00539,PRP-0134,walk_in_closet,0
FTR-00540,PRP-0134,updated_kitchen,0
FTR-00541,PRP-0134,hardwood_floors,Yes
FTR-00542,PRP-0134,central_ac,yes
FTR-00543,PRP-0135,fresh_paint,0
FTR-00544,PRP-0135,master_suite,no
FTR-00545,PRP-0136,fireplace,1
FTR-00546,PRP-0136,new_roof,yes
FTR-00547,PRP-0136,master_suite,no
FTR-00548,PRP-0136,fresh_paint,Yes
FTR-00549,PRP-0136,vaulted_ceilings,0
FTR-00550,PRP-0137,fireplace,yes
FTR-00551,PRP-0137,vaulted_ceilings,no
FTR-00552,PRP-0137,fresh_paint,1
FTR-00553,PRP-0137,master_suite,1
FTR-00554,PRP-0137,walk_in_closet,YES
FTR-00555,PRP-0138,fresh_paint,1
FTR-00556,PRP-0138,solar_panels,no
FTR-00557,PRP-0139,granite_counters,YES
FTR-00558,PRP-0139,smart_home,0
FTR-00559,PRP-0139,master_suite,no
FTR-00560,PRP-0140,vaulted_ceilings,0
FTR-00561,PRP-0140,walk_in_closet,Yes
FTR-00562,PRP-0140,stainless_appliances,1
FTR-00563,PRP-0141,fresh_paint,no
FTR-00564,PRP-0141,hardwood_floors,yes
FTR-00565,PRP-0141,central_ac,Yes
FTR-00566,PRP-0141,new_roof,no
FTR-00567,PRP-0141,granite_counters,1
FTR-00568,PRP-0141,fireplace,yes
FTR-00569,PRP-0142,walk_in_closet,yes
FTR-00570,PRP-0142,granite_counters,no
FTR-00571,PRP-0142,fireplace,Yes
FTR-00572,PRP-0142,solar_panels,no
FTR-00573,PRP-0142,fresh_paint,1
FTR-00574,PRP-0142,stainless_appliances,yes
FTR-00575,PRP-0143,granite_counters,no
FTR-00576,PRP-0143,walk_in_closet,Yes
FTR-00577,PRP-0143,smart_home,1
FTR-00578,PRP-0143,new_roof,0
FTR-00579,PRP-0143,central_ac,0
FTR-00580,PRP-0143,updated_kitchen,0
FTR-00581,PRP-0144,new_roof,yes
FTR-00582,PRP-0144,granite_counters,Yes
FTR-00583,PRP-0144,smart_home,1
FTR-00584,PRP-0145,stainless_appliances,1
FTR-00585,PRP-0145,smart_home,Yes
FTR-00586,PRP-0145,fireplace,Yes
FTR-00587,PRP-0145,solar_panels,YES
FTR-00588,PRP-0146,smart_home,YES
FTR-00589,PRP-0146,vaulted_ceilings,no
FTR-00590,PRP-0146,solar_panels,0
FTR-00591,PRP-0147,hardwood_floors,0
FTR-00592,PRP-0147,central_ac,yes
FTR-00593,PRP-0147,granite_counters,1
FTR-00594,PRP-0147,solar_panels,YES
FTR-00595,PRP-0147,open_floor_plan,Yes
FTR-00596,PRP-0148,open_floor_plan,yes
FTR-00597,PRP-0148,solar_panels,0
FTR-00598,PRP-0148,walk_in_closet,no
FTR-00599,PRP-0149,smart_home,0
FTR-00600,PRP-0149,hardwood_floors,0
