transaction_id,listing_id,buyer_id,agent_id,sale_price,sale_date,closing_date,commission_amount,transaction_status,financing_type,inspection_passed
TXN-00065,LST-XXXX,BYR-1090,AGT-0176,599417.85,2021-03-04,2021-03-23,23684.06,Cancelled,Jumbo,True
TXN-00066,LST-5108,BYR-0945,AGT-0019,2762825.39,2022-09-09,2022-10-17,152698.86,Cancelled,Cash,False
TXN-00067,LST-5339,BYR-1935,AGT-0183,1490474.34,2022-03-29,2022-04-22,68870.89,Completed,Conventional,False
TXN-00068,LST-5072,BYR-0670,AGT-0013,602483.71,2021-03-03,2021-03-27,34923.56,Pending,Conventional,True
TXN-00069,LST-1691,BYR-2073,AGT-0049,1645597.13,2021-08-18,2021-09-27,47476.92,Cancelled,Cash,False
TXN-00070,LST-2212,BYR-0692,AGT-0097,2201841.26,2022-03-28,2022-05-01,78624.32,Completed,Conventional,True
TXN-00071,LST-3753,BYR-1786,AGT-0278,2230595.06,2020-08-12,2020-09-08,128088.44,Completed,Conventional,True
TXN-00072,LST-3508,BYR-1061,AGT-0260,1583248.98,2024-09-14,2024-10-20,49933.82,Cancelled,Conventional,False
TXN-00073,LST-3186,BYR-3998,AGT-0136,2383828.84,2023-03-03,2023-03-28,69516.55,,Conventional,True
TXN-00074,LST-4497,BYR-1733,AGT-0139,651983.37,2021-05-16,2021-06-18,37255.85,Pending,FHA,False
TXN-00075,LST-2598,BYR-1490,AGT-0028,896448.23,2024-12-16,2025-01-15,40583.07,Cancelled,Cash,True
TXN-00076,LST-3121,BYR-3837,AGT-0063,462605.96,2021-09-26,2021-10-25,23186.66,Pending,FHA,True
TXN-00077,LST-0209,BYR-2030,AGT-0157,1038345.18,2022-02-16,2022-03-11,28997.87,,VA,True
TXN-00078,LST-4968,BYR-0509,AGT-0021,180751.12,2024-08-17,2024-09-14,6652.24,Completed,Conventional,False
TXN-00079,LST-3394,BYR-2953,AGT-0251,2563199.7,2023-04-15,2023-05-25,123365.81,Cancelled,FHA,True
TXN-00080,LST-3797,BYR-1251,AGT-0225,2530752.66,2024-09-08,2024-10-11,77473.62,Cancelled,Cash,True
TXN-00081,LST-0270,BYR-1808,AGT-0131,1591952.49,2020-11-25,2021-01-03,90355.95,Completed,FHA,True
TXN-00082,LST-3650,BYR-3950,AGT-0142,2422227.93,2022-01-31,2022-03-11,70140.07,Completed,Conventional,True
TXN-00083,LST-5748,BYR-0138,AGT-0065,601996.27,2024-09-08,2024-10-08,33163.2,Cancelled,Conventional,True
TXN-00084,LST-1344,BYR-2196,AGT-0135,2475630.94,2024-01-02,2024-02-11,76550.25,Cancelled,Cash,False
TXN-00085,LST-4689,BYR-2949,AGT-0222,2192530.92,2021-05-04,2021-06-02,56954.66,Completed,VA,False
TXN-00086,LST-3469,BYR-3950,AGT-0202,1130207.5,2021-02-12,2021-03-11,41864.16,Pending,Conventional,True
TXN-00087,LST-2431,BYR-3545,AGT-0022,1336807.17,2021-07-19,2021-08-03,35340.31,Completed,Conventional,True
TXN-00088,LST-2966,BYR-1205,AGT-0233,1554462.56,2024-03-30,2024-05-14,71361.34,Pending,Conventional,True
TXN-00089,LST-0440,BYR-2764,AGT-0026,2433515.06,2024-04-01,2024-04-26,64914.71,Completed,Conventional,False
TXN-00090,LST-2417,BYR-2547,AGT-0294,2272553.36,2021-12-09,2022-01-12,108081.49,Pending,Cash,True
TXN-00091,LST-3725,BYR-0514,AGT-0026,2094167.86,2022-09-20,2022-10-07,53296.1,Completed,Conventional,False
TXN-00092,LST-3055,BYR-0738,AGT-0232,517448.5,2023-04-20,2023-05-07,15032.14,Cancelled,Conventional,False
TXN-00093,LST-5489,BYR-2395,AGT-0119,2111721.77,2023-10-23,2023-11-15,101217.52,Pending,Cash,True
TXN-00094,LST-4147,BYR-3663,AGT-0081,283010.72,2024-05-18,2024-06-18,9867.47,Cancelled,Conventional,False
TXN-00095,LST-1207,BYR-3595,AGT-0209,2280106.96,2023-04-19,2023-06-01,125521.24,Pending,Conventional,True
TXN-00096,LST-2269,BYR-2033,AGT-0024,192249.25,2021-09-27,2021-10-13,11119.31,Cancelled,USDA,True
TXN-00097,LST-0886,BYR-2810,AGT-0122,1671442.36,2021-06-25,2021-07-25,97339.5,Completed,VA,False
TXN-00098,LST-2709,BYR-3763,AGT-0065,940090.84,2024-12-21,2025-01-15,36972.02,Pending,Cash,True
TXN-00099,LST-0813,BYR-2659,AGT-0275,832321.41,2022-03-13,2022-04-23,31125.33,Completed,Cash,True
TXN-00100,LST-0927,BYR-2010,AGT-0153,379444.87,2024-03-20,2024-04-14,19758.61,Pending,Cash,False
TXN-00101,LST-5149,BYR-2959,AGT-0246,1775956.75,2023-03-11,2023-04-15,69358.18,Cancelled,Cash,True
TXN-00102,LST-5216,BYR-2101,AGT-0162,2564183.21,2021-03-07,2021-03-25,64804.81,Cancelled,Conventional,True
TXN-00103,LST-5326,BYR-2910,AGT-0262,1158604.96,2021-09-14,2021-10-25,56295.65,Cancelled,Conventional,True
TXN-00104,LST-5389,BYR-0564,AGT-0139,648593.73,2021-12-21,2022-01-19,37404.78,Pending,Conventional,True
TXN-00105,LST-1269,BYR-3677,AGT-0076,509205.84,2021-03-12,2021-04-18,17419.2,Cancelled,Conventional,False
TXN-00106,LST-2001,BYR-2995,AGT-0071,870053.03,2020-06-15,2020-07-15,45660.49,Completed,USDA,True
TXN-00107,LST-2168,BYR-1781,AGT-0223,952371.52,2020-06-18,2020-07-08,45392.73,Pending,Cash,True
TXN-00108,LST-5893,BYR-0845,AGT-0141,1429293.02,2022-07-12,2022-08-05,78921.57,Pending,VA,True
TXN-00109,LST-4323,BYR-3388,AGT-0068,1467287.55,2023-12-05,2024-01-17,79866.58,Completed,FHA,True
TXN-00110,LST-4326,BYR-0363,AGT-0300,2133764.11,2020-11-08,2020-12-05,95890.42,Pending,VA,False
TXN-00111,LST-1163,BYR-1014,AGT-0115,490686.04,2024-04-20,2024-05-27,12465.19,Pending,VA,True
TXN-00112,LST-5405,BYR-3787,AGT-0141,2650886.6,2021-12-04,2022-01-14,126657.8,Completed,Conventional,True
TXN-00113,LST-5567,BYR-3425,AGT-0102,487549.36,2021-09-17,2021-10-22,15929.85,Completed,Conventional,True
TXN-00114,LST-2331,BYR-3477,AGT-0004,2886138.25,2020-06-26,2020-07-14,76538.65,Cancelled,FHA,True
TXN-00115,LST-4246,BYR-0583,AGT-0003,1125540.79,2023-12-14,2024-01-21,52742.6,Pending,Conventional,False
TXN-00116,LST-1285,BYR-0707,AGT-0104,1958688.51,2022-09-25,2022-10-24,90542.54,,USDA,False
TXN-00117,LST-2570,BYR-2961,AGT-0169,1761397.14,2024-07-19,2024-08-15,100262.81,Completed,Conventional,False
TXN-00118,LST-0887,BYR-0753,AGT-0286,1926130.33,2023-04-26,2023-06-07,75836.59,Pending,Conventional,True
TXN-00119,LST-5681,BYR-0272,AGT-0207,1142094.7,2020-12-12,2021-01-03,45892.93,Cancelled,FHA,False
TXN-00120,LST-0382,BYR-3723,AGT-0166,828758.57,2023-01-22,2023-02-22,24988.33,Cancelled,Conventional,True
TXN-00121,LST-3812,BYR-3814,AGT-0172,1807242.78,2023-05-29,2023-07-01,66945.2,Completed,Conventional,True
TXN-00122,LST-2653,BYR-3526,AGT-0201,2258190.95,2023-11-17,2023-12-12,76790.33,Completed,Conventional,False
TXN-00123,LST-3429,BYR-0340,AGT-0256,1046075.33,2021-08-29,2021-09-30,55588.79,Cancelled,Conventional,True
TXN-00124,LST-1097,BYR-0358,AGT-0161,1684501.98,2022-05-27,2022-06-13,73175.28,Pending,Conventional,True
TXN-00125,LST-0905,BYR-3740,AGT-0189,1893320.22,2023-07-11,2023-07-26,85297.18,Completed,Cash,True
TXN-00126,LST-4066,BYR-3698,AGT-0088,2203648.05,2021-04-15,2021-05-22,87565.37,Cancelled,VA,True
TXN-00127,LST-0980,BYR-1809,AGT-0033,933750.16,2020-11-23,2020-12-11,45677.45,Pending,Conventional,True
TXN-00128,LST-4027,BYR-3013,AGT-0151,1099574.24,2021-02-16,2021-04-02,40973.72,Completed,Jumbo,True
TXN-00129,LST-5596,BYR-0126,AGT-0183,2507779.62,2022-02-20,2022-03-17,115079.35,Cancelled,Conventional,True
TXN-00130,LST-3973,BYR-1601,AGT-0268,1881656.92,2023-03-07,2023-04-15,90544.18,Completed,Cash,True
TXN-00131,LST-0448,BYR-0585,AGT-0056,1481450.6,2021-01-21,2021-02-12,49866.86,,USDA,True
TXN-00132,LST-5910,BYR-0086,AGT-0011,1038747.48,2023-11-15,2023-12-22,30621.75,Cancelled,VA,False
TXN-00133,LST-0094,BYR-2096,AGT-0125,529249.25,2024-03-03,2024-04-02,25467.52,Completed,Jumbo,True
TXN-00134,LST-2676,BYR-1314,AGT-0039,1573810.02,2023-06-01,2023-07-09,79072.2,Completed,Conventional,False
TXN-00135,LST-5986,BYR-3147,AGT-0122,2484074.29,2020-05-24,2020-06-21,85251.47,Completed,FHA,True
TXN-00136,LST-1494,BYR-1237,AGT-0065,2338499.28,2020-11-30,2021-01-14,99555.62,Pending,VA,False
TXN-00137,LST-XXXX,BYR-2925,AGT-0153,1865721.71,2024-11-03,2024-11-27,71999.97,Completed,USDA,True
TXN-00138,LST-4416,BYR-3679,AGT-0028,1188902.43,2021-07-10,2021-08-13,66004.68,Cancelled,FHA,True
TXN-00139,LST-0712,BYR-0147,AGT-0100,1551270.63,2021-08-24,2021-09-27,39609.51,Pending,Jumbo,False
TXN-00140,LST-0383,BYR-0741,AGT-0251,2069029.83,2023-07-18,2023-08-12,54746.16,Pending,FHA,True
TXN-00141,LST-1945,BYR-0687,AGT-0236,551703.35,2022-10-29,2022-12-10,15679.16,Pending,FHA,True
TXN-00142,LST-3650,BYR-3352,AGT-0140,2284257.49,2022-02-01,2022-02-16,121728.44,Completed,Conventional,True
TXN-00143,LST-5877,BYR-1842,AGT-0021,2108173.43,2022-05-12,2022-06-21,58847.88,Cancelled,Cash,True
TXN-00144,LST-4916,BYR-2104,AGT-0232,1349039.71,2023-02-26,2023-03-22,76240.71,Pending,Conventional,True
TXN-00145,LST-4852,BYR-2821,AGT-0263,2412310.63,2020-12-02,2021-01-11,134801.46,Pending,FHA,True
TXN-00146,LST-2644,BYR-0279,AGT-0144,1143558.25,2022-04-21,2022-05-12,40205.87,,Jumbo,True
TXN-00147,LST-5002,BYR-2165,AGT-0126,1336754.28,2021-07-24,2021-08-14,51735.24,Completed,Cash,False
TXN-00148,LST-1350,BYR-0476,AGT-0075,1942889.85,2024-03-03,2024-04-02,56462.94,Pending,VA,True
TXN-00149,LST-2563,BYR-3443,AGT-0158,922128.46,2024-01-01,2024-01-24,35737.1,,Conventional,False
TXN-00150,LST-1378,BYR-3393,AGT-0262,915605.61,2022-06-18,2022-07-18,49674.4,Pending,Jumbo,True
TXN-00151,LST-XXXX,BYR-2350,AGT-0194,1751174.5,2021-06-12,2021-07-27,100076.26,Cancelled,FHA,False
TXN-00152,LST-1146,BYR-2299,AGT-0183,1746894.99,2020-05-10,2020-05-31,88846.75,Completed,Conventional,True
TXN-00153,LST-1833,BYR-0327,AGT-0049,2094605.43,2023-12-17,2024-01-01,108412.38,Pending,Cash,True
TXN-00154,LST-3071,BYR-1527,AGT-0037,705270.5,2023-02-10,2023-03-12,18685.44,Cancelled,Cash,False
TXN-00155,LST-4421,BYR-1491,AGT-0196,779935.75,2023-04-01,2023-05-07,41582.97,Cancelled,Cash,True
TXN-00156,LST-4254,BYR-3704,AGT-0231,1664694.19,2020-10-30,2020-12-12,91410.93,Pending,Jumbo,True
TXN-00157,LST-3954,BYR-2280,AGT-0014,1958768.27,2024-08-16,2024-09-22,110694.67,Cancelled,Cash,True
TXN-00158,LST-0072,BYR-1859,AGT-0184,407272.14,2022-02-07,2022-03-14,20540.89,Pending,Cash,True
TXN-00159,LST-3269,BYR-2436,AGT-0158,1008211.46,2023-01-22,2023-02-26,29921.19,Pending,Conventional,True
TXN-00160,LST-1843,BYR-1643,AGT-0144,1556165.39,2023-01-10,2023-02-16,49043.32,Completed,VA,True
TXN-00161,LST-1416,BYR-3339,AGT-0088,1862250.19,2022-02-26,2022-04-06,55137.34,Pending,FHA,True
TXN-00162,LST-XXXX,BYR-0346,AGT-0222,1859751.8,2021-11-02,2021-11-29,83253.44,Cancelled,Conventional,False
TXN-00163,LST-3212,BYR-2539,AGT-0169,404862.15,2022-07-24,2022-09-02,16017.19,Completed,Cash,True
TXN-00164,LST-2167,BYR-0814,AGT-0213,871181.37,2023-12-08,2023-12-27,49220.61,Completed,Jumbo,True
TXN-00165,LST-1416,BYR-3025,AGT-0047,1819050.48,2021-10-27,2021-12-09,67919.63,Pending,FHA,True
TXN-00166,LST-3085,BYR-2021,AGT-0279,1704579.63,2022-03-05,2022-04-19,77365.9,Pending,Conventional,True
TXN-00167,LST-2134,BYR-2714,AGT-0137,2252713.66,2024-10-08,2024-11-05,60203.24,Cancelled,Conventional,True
TXN-00168,LST-3667,BYR-1143,AGT-0285,2334205.75,2022-01-09,2022-01-26,134913.43,Cancelled,FHA,True
TXN-00169,LST-0501,BYR-2198,AGT-0169,179990.48,2021-06-20,2021-07-17,6479.54,Pending,Conventional,True
TXN-00170,LST-1207,BYR-0551,AGT-0050,2096912.35,2022-12-02,2023-01-09,84386.58,Pending,Jumbo,False
TXN-00171,LST-3907,BYR-0881,AGT-0262,2054192.65,2021-04-26,2021-05-16,105955.61,Pending,FHA,True
TXN-00172,LST-5773,BYR-1638,AGT-0124,1050686.89,2021-06-22,2021-08-02,48954.7,Completed,Conventional,False
TXN-00173,LST-2836,BYR-2250,AGT-0043,1494066.85,2022-01-30,2022-02-15,62026.94,Cancelled,VA,True
TXN-00174,LST-5733,BYR-1106,AGT-0293,1766720.56,2021-10-29,2021-12-07,55437.81,Pending,Conventional,True
TXN-00175,LST-1921,BYR-3820,AGT-0003,159966.65,2021-01-13,2021-01-28,7035.78,Pending,Conventional,True
TXN-00176,LST-2326,BYR-3299,AGT-0279,942763.12,2024-08-25,2024-10-08,46611.82,Cancelled,Jumbo,True
TXN-00177,LST-5639,BYR-2312,AGT-0020,2123549.67,2024-03-07,2024-03-26,84149.46,Completed,Conventional,True
TXN-00178,LST-5848,BYR-0363,AGT-0051,1090724.15,2022-09-18,2022-10-13,44363.62,Pending,Cash,True
TXN-00179,LST-3911,BYR-3807,AGT-0232,301595.7,2021-05-10,2021-05-25,18062.46,Pending,Conventional,False
TXN-00180,LST-1315,BYR-2279,AGT-0097,1990600.33,2020-06-24,2020-08-05,66710.49,Pending,VA,True
TXN-00181,LST-3218,BYR-2402,AGT-0269,398266.77,2024-04-08,2024-05-09,22403.53,Completed,Conventional,True
TXN-00182,LST-1643,BYR-3443,AGT-0071,424544.9,2022-01-23,2022-02-20,19761.74,Pending,VA,False
TXN-00183,LST-5992,BYR-2651,AGT-0123,529018.77,2022-08-02,2022-08-25,29298.93,Cancelled,Jumbo,True
TXN-00184,LST-0370,BYR-3359,AGT-0050,430371.0,2024-08-22,2024-10-04,11067.42,Completed,Conventional,True
TXN-00185,LST-2542,BYR-2901,AGT-0214,2170705.36,2023-05-18,2023-06-21,94907.34,Completed,Cash,True
TXN-00186,LST-1061,BYR-3758,AGT-0251,435133.12,2024-08-04,2024-08-22,18176.21,Pending,VA,True
TXN-00187,LST-0834,BYR-2062,AGT-0162,1695562.01,2021-03-13,2021-04-10,85220.76,Cancelled,Conventional,True
TXN-00188,LST-4902,BYR-0221,AGT-0058,1027903.84,2021-01-22,2021-02-28,37325.46,Pending,Conventional,True
TXN-00189,LST-5386,BYR-0634,AGT-0271,1902578.36,2024-08-03,2024-09-17,113412.9,Completed,Cash,False
TXN-00190,LST-0817,BYR-2084,AGT-0225,1360505.85,2021-04-30,2021-05-15,70905.47,Pending,Conventional,True
TXN-00191,LST-0837,BYR-1540,AGT-0091,919585.65,2022-03-31,2022-04-25,37223.51,Completed,VA,False
TXN-00192,LST-2682,BYR-1033,AGT-0214,387536.21,2022-04-19,2022-05-21,13703.18,Cancelled,Conventional,True
TXN-00193,LST-5728,BYR-3744,AGT-0103,1049239.83,2024-03-15,2024-04-01,27861.76,Cancelled,Conventional,False
TXN-00194,LST-0570,BYR-0913,AGT-0108,1904893.63,2022-09-29,2022-11-12,110367.75,Completed,Cash,True
TXN-00195,LST-0049,BYR-3996,AGT-0251,2076942.11,2024-09-01,2024-09-24,66171.67,Completed,Conventional,True
TXN-00196,LST-3911,BYR-0886,AGT-0234,340585.92,2021-10-12,2021-11-21,10687.01,Completed,VA,True
TXN-00197,LST-2999,BYR-2608,AGT-0269,1573798.1,2020-10-04,2020-10-26,88818.17,Completed,Cash,True
TXN-00198,LST-4564,BYR-2835,AGT-0138,1160575.54,2024-08-04,2024-09-15,38063.03,Pending,Cash,True
TXN-00199,LST-4061,BYR-1595,AGT-0155,1125721.54,2023-12-04,2024-01-03,63932.15,Pending,Conventional,True
TXN-00200,LST-5504,BYR-2747,AGT-0149,1707730.46,2022-07-12,2022-07-31,50594.37,Completed,Conventional,False
TXN-00201,LST-5518,BYR-2862,AGT-0029,1619165.06,2021-10-27,2021-12-05,95862.88,Pending,Conventional,True
TXN-00202,LST-2048,BYR-2792,AGT-0162,2152189.56,2021-03-17,2021-04-10,115821.35,Pending,FHA,True
TXN-00203,LST-3820,BYR-0861,AGT-0213,2006308.72,2021-08-05,2021-09-13,68227.65,Completed,Cash,True
TXN-00204,LST-0561,BYR-2034,AGT-0146,2045233.4,2021-02-03,2021-02-25,59052.04,Completed,Conventional,True
TXN-00205,LST-0645,BYR-3700,AGT-0247,2493500.47,2024-07-28,2024-08-14,81942.4,Completed,USDA,True
TXN-00206,LST-4689,BYR-2599,AGT-0058,2589770.91,2021-08-29,2021-10-06,121563.15,Cancelled,Cash,True
TXN-00207,LST-1952,BYR-0475,AGT-0145,2403800.29,2022-08-24,2022-10-01,139802.84,Pending,Conventional,True
TXN-00208,LST-1864,BYR-1901,AGT-0194,2425840.94,2023-01-26,2023-02-18,89849.4,Completed,Conventional,True
TXN-00209,LST-5642,BYR-2953,AGT-0169,2078783.96,2020-12-05,2020-12-24,102030.05,Completed,Conventional,True
TXN-00210,LST-3236,BYR-0991,AGT-0163,2071942.62,2023-10-10,2023-11-24,94258.55,Completed,Conventional,True
TXN-00211,LST-XXXX,BYR-0690,AGT-0242,590034.79,2022-03-07,2022-04-04,33506.71,Cancelled,Cash,False
TXN-00212,LST-2272,BYR-2431,AGT-0248,1228623.37,2020-11-24,2021-01-08,55242.74,Pending,Cash,True
TXN-00213,LST-2831,BYR-3598,AGT-0165,496853.69,2023-03-02,2023-04-13,20901.28,Pending,Conventional,True
TXN-00214,LST-0275,BYR-2055,AGT-0080,148516.38,2023-08-02,2023-08-28,7949.96,Cancelled,VA,True
TXN-00215,LST-4772,BYR-3083,AGT-0096,514069.54,2023-04-19,2023-06-01,12980.9,Completed,VA,True
TXN-00216,LST-1553,BYR-0817,AGT-0119,192053.65,2022-08-30,2022-10-07,7343.23,Cancelled,Conventional,True
TXN-00217,LST-2082,BYR-1448,AGT-0155,1731812.06,2020-09-04,2020-10-05,47438.87,Cancelled,Conventional,False
TXN-00218,LST-4079,BYR-3394,AGT-0184,2469777.22,2024-07-21,2024-08-13,118759.92,Pending,Jumbo,True
TXN-00219,LST-1869,BYR-2942,AGT-0280,737341.42,2022-12-10,2023-01-03,26880.0,Pending,Cash,False
TXN-00220,LST-1530,BYR-1723,AGT-0283,1799323.58,2022-08-18,2022-09-11,91024.31,Completed,Conventional,True
TXN-00221,LST-5952,BYR-3788,AGT-0112,1102009.76,2023-08-04,2023-09-01,29453.6,Completed,Cash,True
