property_id,location_id,property_type,year_built,square_footage,bedrooms,bathrooms,lot_size_sqft,garage_spaces,has_pool,has_basement,stories
PRP-0070,LOC-4560,Town House,1944,2553,4,1.0,27198.0,2,False,False,1
PRP-0071,LOC-2542,single family,1997,7535,5,5.0,12315.0,4,False,False,2
PRP-0072,LOC-3820,TH,2016,6168,7,1.5,35678.0,2,False,True,2
PRP-0073,LOC-2506,sfr,1987,560,2,4.0,16618.0,3,True,False,1
PRP-0074,LOC-3688,sfr,1998,3597,1,5.5,17802.0,0,False,True,3
PRP-0075,LOC-2386,TH,1957,2106,1,5.5,44373.0,1,True,True,1
PRP-0076,LOC-3601,Town House,1997,7362,6,3.5,23650.0,4,False,True,1
PRP-0077,LOC-2045,CONDO,1927,3685,4,5.0,,3,False,False,2
PRP-0078,LOC-3034,SINGLE-FAMILY,1933,2022,4,1.5,44424.0,0,True,True,1
PRP-0079,LOC-2960,Single Family Home,2022,4358,4,4.5,41728.0,4,False,True,3
PRP-0080,LOC-1787,LAND,1979,7529,5,4.0,256364.0,0,False,False,2
PRP-0081,LOC-4955,Single Family Home,1959,5172,1,2.0,3973.0,2,True,True,1
PRP-0082,LOC-4587,condominium,2014,7636,6,3.0,416.0,4,False,False,3
PRP-0083,LOC-3184,SINGLE-FAMILY,1969,2684,1,2.5,46242.0,3,True,False,3
PRP-0084,LOC-3924,condominium,1986,3601,5,1.0,,3,False,True,2
PRP-0085,LOC-2338,sfr,1998,2360,3,5.5,4501.0,0,True,False,2
PRP-0086,LOC-2459,condo,1954,4152,1,4.5,,2,False,False,3
PRP-0087,LOC-1337,Single-Family,1990,5328,3,3.0,32150.0,3,True,True,2
PRP-0088,LOC-1016,Single-Family,1952,7544,5,2.5,42039.0,3,True,True,2
PRP-0089,LOC-4287,condominium,1996,7626,1,2.5,,4,True,True,3
PRP-0090,LOC-3848,CONDO,1965,4782,4,4.5,,0,True,True,3
PRP-0091,LOC-2641,condominium,1970,2165,7,5.5,,3,False,False,3
PRP-0092,LOC-3952,TOWNHOUSE,1928,7072,2,1.5,33404.0,4,False,True,2
PRP-0093,LOC-0574,Single Family Home,1971,6419,7,5.0,28945.0,1,False,False,1
PRP-0094,LOC-3360,Townhouse,1936,2380,1,2.5,11333.0,2,False,False,2
PRP-0095,LOC-4646,SFR,1982,3696,4,3.5,20140.0,3,True,False,1
PRP-0096,LOC-2757,SFR,1956,6977,2,3.0,38906.0,0,False,True,3
PRP-0097,LOC-1447,condo,1987,796,5,1.0,,4,False,False,3
PRP-0098,LOC-0154,Single-Family,1965,7913,1,5.5,12675.0,1,False,False,1
PRP-0099,LOC-3431,SFR,1996,3671,5,4.0,42566.0,0,True,True,3
PRP-0100,LOC-2462,single family,1921,1941,1,3.5,10718.0,2,True,False,3
PRP-0101,LOC-4238,condominium,1973,6048,3,2.0,,0,False,False,2
PRP-0102,LOC-1854,TH,1950,6484,7,2.5,17827.0,2,False,False,1
PRP-0103,LOC-3226,SINGLE-FAMILY,1968,2593,3,3.5,31343.0,0,False,True,3
PRP-0104,LOC-0536,Town House,1921,834,6,4.0,20438.0,1,True,False,1
PRP-0105,LOC-3020,Condominium,1937,7672,2,2.0,,1,True,False,2
PRP-0106,LOC-0505,Town House,1948,2705,4,1.5,10354.0,4,True,False,2
PRP-0107,LOC-4932,Condominium,2016,2532,3,1.0,,4,False,True,3
PRP-0108,LOC-2736,lot,1947,1338,3,2.5,438772.0,2,True,True,2
PRP-0109,LOC-3464,Condominium,2023,1427,7,5.0,,0,False,True,1
PRP-0110,LOC-0598,TH,1951,2724,6,4.5,23829.0,2,True,False,3
PRP-0111,LOC-3067,Single-Family,2009,4520,7,3.5,3209.0,4,False,False,1
PRP-0112,LOC-2879,Town House,1929,6698,3,4.0,48688.0,1,True,False,3
PRP-0113,LOC-2858,sfr,2018,5681,4,1.5,8272.0,4,False,True,3
PRP-0114,LOC-0974,SFR,1960,2352,7,1.0,17206.0,4,True,False,2
PRP-0115,LOC-4482,SINGLE-FAMILY,1922,6810,3,3.0,10369.0,2,True,True,1
PRP-0116,LOC-2908,condo,1926,6786,6,2.5,,3,False,False,1
PRP-0117,LOC-0311,SFR,1950,6007,2,5.5,3767.0,2,False,True,3
PRP-0118,LOC-3013,Condominium,2010,1564,1,3.5,,2,False,True,3
PRP-0119,LOC-4476,Single Family Home,2008,3443,4,3.5,31004.0,1,False,True,3
PRP-0120,LOC-2877,CONDO,1930,2100,1,1.0,,4,False,False,2
PRP-0121,LOC-4636,condominium,1963,7945,2,5.0,30.0,3,False,True,3
PRP-0122,LOC-4936,single family,1991,499,6,1.5,38756.0,3,True,False,2
PRP-0123,LOC-3437,Townhouse,1940,7220,4,3.0,24378.0,2,False,False,1
PRP-0124,LOC-4159,multi family,1977,4065,1,5.0,43868.0,2,False,False,2
PRP-0125,LOC-1083,SINGLE-FAMILY,1924,4923,7,1.0,45550.0,3,True,True,1
PRP-0126,LOC-1706,SINGLE-FAMILY,1994,7864,1,4.5,20843.0,0,False,False,3
PRP-0127,LOC-1221,Single Family Home,1958,1957,5,2.0,4715.0,2,True,True,3
PRP-0128,LOC-0004,Condo,1935,5103,4,1.5,1336.0,0,False,True,1
PRP-0129,LOC-0590,TOWNHOUSE,2014,7852,2,5.5,46638.0,3,False,False,1
PRP-0130,LOC-3444,Multi-Family,1955,5631,7,4.0,29204.0,3,True,True,2
PRP-0131,LOC-3004,condo,1937,3239,2,4.5,,0,False,True,1
PRP-0132,LOC-3165,land,1930,493,6,1.0,44444.0,4,False,True,1
PRP-0133,LOC-0570,SINGLE-FAMILY,2023,782,1,4.5,21346.0,3,False,False,1
PRP-0134,LOC-4557,Multifamily,2004,3494,1,3.0,11723.0,1,True,False,2
PRP-0135,LOC-2301,single family,1980,7373,3,4.0,18523.0,0,True,False,1
PRP-0136,LOC-3713,Townhouse,1987,3923,4,2.5,34207.0,4,False,True,1
PRP-0137,LOC-1319,SINGLE-FAMILY,2023,1365,1,1.0,32089.0,4,True,False,2
PRP-0138,LOC-3737,condominium,1927,6298,1,1.5,,2,False,False,2
PRP-0139,LOC-3724,Condominium,2016,6463,3,5.0,,2,False,True,1
PRP-0140,LOC-2624,townhouse,2001,3664,6,4.5,49725.0,4,True,False,3
PRP-0141,LOC-4784,Land,2000,7103,5,5.5,380457.0,1,False,False,3
PRP-0142,LOC-4408,TOWNHOUSE,1920,2976,2,2.5,4816.0,2,True,True,1
PRP-0143,LOC-1427,single family,1923,603,3,5.5,37688.0,3,True,True,1
PRP-0144,LOC-2845,Single Family Home,1945,3263,3,3.0,31273.0,4,False,False,3
PRP-0145,LOC-0661,Single Family Home,1933,2127,5,2.0,24380.0,3,False,True,1
PRP-0146,LOC-1436,SFR,1969,4552,2,1.5,33109.0,1,False,True,3
PRP-0147,LOC-0107,Townhouse,1988,6812,6,3.0,38266.0,4,False,True,1
PRP-0148,LOC-1898,SFR,1927,4513,1,3.0,21958.0,3,True,False,2
PRP-0149,LOC-3316,Single-Family,1986,1493,4,1.5,48030.0,0,True,True,3
PRP-0150,LOC-1055,MULTI-FAMILY,1930,7775,4,2.5,26081.0,2,False,False,2
PRP-0151,LOC-3703,sfr,2017,4099,1,1.5,2818.0,0,False,False,3
PRP-0152,LOC-3873,CONDO,1950,3833,6,3.0,,2,False,False,2
PRP-0153,LOC-1522,CONDO,1963,1968,6,4.5,,1,True,False,2
PRP-0154,LOC-4025,Multifamily,2011,5175,7,5.5,43948.0,3,False,False,1
PRP-0155,LOC-2042,Single Family Home,2004,678,2,2.0,45782.0,3,True,True,2
PRP-0156,LOC-0507,Condo,2006,7624,5,3.5,,3,True,False,3
PRP-0157,LOC-1823,Land,1938,5487,5,4.0,386888.0,1,True,False,2
PRP-0158,LOC-0617,multi family,2009,3158,6,5.5,29431.0,0,True,False,3
PRP-0159,LOC-0751,condo,1970,2285,7,5.0,,1,False,True,2
PRP-0160,LOC-3348,sfr,1970,6658,5,1.5,23031.0,0,False,True,3
PRP-0161,LOC-1639,CONDO,1955,1086,6,5.0,,4,False,False,1
PRP-0162,LOC-3629,SINGLE-FAMILY,1998,901,6,5.0,34687.0,1,True,False,1
PRP-0163,LOC-3176,sfr,1938,2534,1,4.0,32393.0,0,False,False,3
PRP-0164,LOC-2470,Single-Family,1936,5456,4,3.0,34753.0,4,False,True,2
PRP-0165,LOC-1412,CONDO,1994,4680,4,1.0,,2,True,False,3
PRP-0166,LOC-2855,sfr,1953,5226,1,5.0,22458.0,4,False,False,1
PRP-0167,LOC-4270,single family,1932,2228,1,2.0,24126.0,1,False,False,2
PRP-0168,LOC-0855,land,1999,2578,1,3.0,423098.0,3,True,False,2
PRP-0169,LOC-3285,sfr,1998,1891,7,2.0,21880.0,3,False,False,1
PRP-0170,LOC-3780,single family,1933,945,4,3.5,6728.0,1,True,True,3
PRP-0171,LOC-2680,CONDO,1920,2534,6,4.5,,0,True,False,2
PRP-0172,LOC-4381,condominium,1978,756,4,4.0,,4,True,True,1
PRP-0173,LOC-4059,condo,1988,1374,2,4.5,,1,False,False,3
PRP-0174,LOC-2969,single family,1936,5619,7,2.0,18785.0,2,False,True,2
PRP-0175,LOC-0884,multi family,1982,7608,3,2.5,22264.0,3,True,False,2
PRP-0176,LOC-0895,SFR,1924,1208,1,5.5,44977.0,0,True,False,1
PRP-0177,LOC-1928,Condo,2023,5555,2,5.5,,2,False,False,2
PRP-0178,LOC-0602,Condo,1937,5923,1,2.0,,3,False,True,2
PRP-0179,LOC-4839,SINGLE-FAMILY,1932,3169,2,5.5,2294.0,3,True,False,2
PRP-0180,LOC-0236,CONDO,2021,514,5,1.0,,4,False,True,1
PRP-0181,LOC-4957,Condo,1999,7463,4,3.0,,3,True,False,1
PRP-0182,LOC-2638,SINGLE-FAMILY,1936,2407,4,4.0,18503.0,3,True,False,1
PRP-0183,LOC-1462,condo,1972,2349,5,4.0,,0,True,True,2
PRP-0184,LOC-4520,Condo,1985,5881,7,1.5,1573.0,0,True,True,1
PRP-0185,LOC-3255,single family,1987,4136,5,2.0,37792.0,3,False,True,1
PRP-0186,LOC-4444,multi family,1928,482,4,1.5,6024.0,3,False,True,1
PRP-0187,LOC-3208,sfr,1941,5235,4,4.0,44437.0,0,True,False,1
PRP-0188,LOC-3649,sfr,1920,955,5,5.0,5899.0,1,False,True,3
PRP-0189,LOC-3350,condominium,1947,2925,7,2.0,,2,False,True,2
PRP-0190,LOC-4429,Condominium,1982,2040,5,5.5,,2,False,False,2
PRP-0191,LOC-2976,Condo,1987,5392,2,2.5,736.0,4,True,False,1
PRP-0192,LOC-4225,multi family,1997,2550,4,2.5,44443.0,0,False,True,3
PRP-0193,LOC-0152,CONDO,2009,3031,5,4.5,,1,False,False,1
PRP-0194,LOC-4995,SINGLE-FAMILY,1958,5327,6,1.0,46335.0,0,False,False,3
PRP-0195,LOC-3803,sfr,1996,1684,6,1.0,14261.0,4,False,True,2
PRP-0196,LOC-4608,SFR,1998,7954,5,1.5,6655.0,0,False,True,3
PRP-0197,LOC-4808,SINGLE-FAMILY,1952,2864,5,4.5,19724.0,0,True,True,2
PRP-0198,LOC-4041,SINGLE-FAMILY,2004,3659,3,5.0,3449.0,1,True,True,3
PRP-0199,LOC-4078,Condo,1956,3312,4,1.0,,1,True,False,2
PRP-0200,LOC-3061,condominium,2001,1455,3,3.5,1852.0,3,False,True,3
PRP-0201,LOC-0012,CONDO,1933,3876,7,5.5,,2,False,True,1
PRP-0202,LOC-1534,TOWNHOUSE,1957,7422,2,3.0,48118.0,4,True,False,3
PRP-0203,LOC-0326,single family,1970,7864,3,1.5,39496.0,3,False,False,3
PRP-0204,LOC-3970,Single Family Home,1940,814,5,3.5,33001.0,2,False,False,2
PRP-0205,LOC-2731,Single Family Home,1976,2389,1,5.0,15934.0,1,False,True,3
PRP-0206,LOC-2188,sfr,2002,865,1,4.0,18373.0,3,True,True,3
PRP-0207,LOC-1262,SFR,1940,7685,7,2.0,4985.0,1,True,False,3
PRP-0208,LOC-3545,CONDO,1991,4141,2,2.5,1691.0,1,False,False,2
PRP-0209,LOC-1137,Single Family Home,1962,3348,6,3.5,24743.0,4,False,False,2
PRP-0210,LOC-2191,Multi Family,1984,600,6,4.0,27199.0,3,False,True,3
PRP-0211,LOC-0421,SINGLE-FAMILY,1926,4274,1,2.5,4946.0,1,True,False,2
PRP-0212,LOC-2341,SFR,1976,3189,7,2.5,17641.0,4,False,False,1
PRP-0213,LOC-0969,condominium,2008,2744,3,4.5,,2,True,True,2
PRP-0214,LOC-3502,Condominium,1997,2136,7,2.5,,2,True,True,3
PRP-0215,LOC-3612,Single Family Home,1966,5711,1,2.5,37049.0,4,True,False,3
PRP-0216,LOC-1565,single family,1951,5109,5,1.5,45592.0,1,True,True,3
PRP-0217,LOC-0048,Condominium,1933,7339,4,1.5,,3,False,False,2
PRP-0218,LOC-0021,multi family,1995,3504,1,3.0,37750.0,4,True,True,2
PRP-0219,LOC-2223,SFR,1980,2229,6,4.0,39581.0,2,False,True,3
PRP-0220,LOC-4771,Single Family Home,1947,3598,6,5.0,36944.0,4,False,True,2
PRP-0221,LOC-3139,Condo,1959,6139,5,4.5,,2,False,True,3
PRP-0222,LOC-2606,Single-Family,1940,6866,5,4.0,43581.0,0,False,True,3
PRP-0223,LOC-3440,Town House,1922,1986,6,1.5,10792.0,2,True,False,2
PRP-0224,LOC-3010,sfr,1988,6951,5,3.0,24020.0,3,False,False,2
PRP-0225,LOC-1861,Condo,1924,5646,2,4.0,,3,False,True,2
PRP-0226,LOC-4764,Multi-Family,1959,6800,5,2.5,24842.0,0,False,True,3
PRP-0227,LOC-1446,LAND,2023,5175,6,2.0,110812.0,2,False,True,3
PRP-0228,LOC-0833,SFR,2018,3015,7,4.5,7083.0,3,False,False,2
PRP-0229,LOC-1029,Town House,1985,1241,7,3.0,41120.0,3,False,True,2
PRP-0230,LOC-0273,townhouse,1936,2083,1,4.5,18805.0,4,True,True,2
PRP-0231,LOC-2431,sfr,1955,7389,4,4.0,17231.0,1,False,False,3
PRP-0232,LOC-2013,single family,2012,5721,6,4.0,15635.0,2,False,False,1
PRP-0233,LOC-4058,townhouse,1924,5253,7,5.0,45513.0,1,True,True,1
PRP-0234,LOC-1866,sfr,1964,7574,1,3.0,46434.0,0,False,True,3
PRP-0235,LOC-2157,Single Family Home,2013,7961,5,3.5,4854.0,2,False,False,1
PRP-0236,LOC-2014,sfr,1962,7638,7,2.0,49344.0,2,False,True,1
PRP-0237,LOC-0373,SFR,2017,7998,6,3.5,17542.0,3,True,True,1
PRP-0238,LOC-3878,Condo,1966,2581,3,5.0,276.0,1,False,False,1
PRP-0239,LOC-1848,Condo,1948,6560,3,4.0,,2,True,False,2
PRP-0240,LOC-1261,SFR,1991,5233,5,1.5,36459.0,2,False,False,2
PRP-0241,LOC-2829,Condominium,2011,5150,5,1.0,,2,False,True,1
PRP-0242,LOC-3182,Multi-Family,1920,4175,5,2.0,28611.0,4,True,True,2
PRP-0243,LOC-0128,SFR,1962,614,1,4.5,22619.0,3,False,False,2
PRP-0244,LOC-2647,condominium,1988,5592,6,1.0,,3,False,False,3
PRP-0245,LOC-1489,townhouse,1925,1741,2,2.0,20970.0,2,False,True,1
PRP-0246,LOC-3520,sfr,1992,924,5,1.5,4436.0,3,True,True,2
PRP-0247,LOC-1205,Town House,1926,5247,1,1.5,21740.0,1,False,False,1
PRP-0248,LOC-0989,single family,1954,2171,2,5.0,28945.0,0,False,False,2
PRP-0249,LOC-1400,single family,1956,2540,6,5.5,12236.0,1,True,True,1
PRP-0250,LOC-3667,Condo,1987,523,1,1.5,,4,False,True,2
PRP-0251,LOC-4647,CONDO,1932,902,6,5.5,,1,True,True,1
PRP-0252,LOC-4821,Condominium,1955,1354,6,4.5,376.0,4,True,False,3
PRP-0253,LOC-4884,Condominium,1978,2741,1,5.0,,3,False,False,1
PRP-0254,LOC-3809,SFR,1925,428,5,2.5,2017.0,4,True,False,1
PRP-0255,LOC-1538,multi family,1935,3486,1,2.0,33795.0,2,False,False,3
PRP-0256,LOC-1533,Single-Family,1995,4413,6,2.5,30136.0,1,True,False,3
PRP-0257,LOC-4456,condominium,2012,4255,6,4.5,400.0,1,True,True,3
PRP-0258,LOC-1358,SFR,1943,3940,2,5.5,12484.0,1,False,True,1
PRP-0259,LOC-1339,Condo,1947,2012,5,3.5,,2,False,True,2
PRP-0260,LOC-2387,sfr,1925,624,7,5.5,48227.0,0,True,False,1
PRP-0261,LOC-1269,SFR,1952,7973,2,2.0,40683.0,2,False,False,3
PRP-0262,LOC-4713,sfr,2010,7151,6,5.5,16451.0,1,True,True,2
PRP-0263,LOC-3761,single family,1955,6086,5,2.5,14885.0,0,True,True,2
PRP-0264,LOC-4772,condo,1966,2097,6,5.0,,4,True,True,2
PRP-0265,LOC-4599,Single-Family,1981,5145,6,3.0,24300.0,2,False,False,1
PRP-0266,LOC-1491,condo,2014,3229,7,4.5,,1,True,True,2
PRP-0267,LOC-4940,Single Family Home,1958,7559,1,5.0,30556.0,4,True,False,3
PRP-0268,LOC-0803,Condominium,1954,6290,6,3.5,,4,False,False,3
PRP-0269,LOC-1118,SFR,2005,738,5,4.0,39445.0,1,False,True,3
PRP-0270,LOC-2165,single family,2000,5949,6,3.5,43624.0,0,True,True,2
PRP-0271,LOC-1171,Single Family Home,1974,1857,6,3.0,6699.0,3,False,False,3
PRP-0272,LOC-4657,condominium,1971,7178,3,1.0,,2,False,True,1
PRP-0273,LOC-1627,SFR,2011,1796,7,3.0,23293.0,1,True,False,2
PRP-0274,LOC-0551,sfr,1957,6400,2,2.0,28737.0,1,True,True,3
PRP-0275,LOC-2184,condo,1944,4319,1,3.5,,0,True,True,2
PRP-0276,LOC-2992,Condominium,1950,4770,2,1.0,,0,False,True,2
PRP-0277,LOC-3589,Single Family Home,1990,2658,5,4.5,20463.0,3,True,False,2
PRP-0278,LOC-1907,Condominium,1924,2779,3,2.0,,3,True,False,3
PRP-0279,LOC-1108,Single-Family,1957,6394,1,1.0,9152.0,2,False,True,2
PRP-0280,LOC-4172,sfr,1981,2835,2,1.5,9370.0,2,False,True,1
PRP-0281,LOC-0506,SINGLE-FAMILY,1976,969,7,1.0,45115.0,1,False,True,3
PRP-0282,LOC-2321,Town House,1992,7916,5,2.0,4016.0,4,False,True,3
PRP-0283,LOC-0602,LAND,1927,863,3,1.5,73205.0,3,True,False,3
PRP-0284,LOC-0077,Land,1947,639,7,3.5,199232.0,0,True,False,3
PRP-0285,LOC-2931,Single Family Home,2002,3801,1,4.0,31155.0,0,True,True,2
PRP-0286,LOC-2877,CONDO,1935,989,3,4.0,,2,False,False,2
PRP-0287,LOC-3181,single family,1934,932,3,2.5,37381.0,0,True,True,1
PRP-0288,LOC-2098,sfr,1946,3958,2,4.5,8305.0,2,False,True,2
PRP-0289,LOC-0086,Single Family Home,2000,1260,6,4.0,23339.0,2,False,True,2
PRP-0290,LOC-1639,Single-Family,1983,7357,6,1.0,34556.0,0,False,True,1
PRP-0291,LOC-2509,SFR,1961,6410,1,5.0,44464.0,1,True,True,3
PRP-0292,LOC-1052,Condo,1960,6459,5,4.0,,1,False,False,1
PRP-0293,LOC-1947,Single-Family,2020,7959,5,5.5,39689.0,0,False,True,3
PRP-0294,LOC-4138,Townhouse,1934,610,7,5.5,42052.0,1,False,False,3
PRP-0295,LOC-4267,SINGLE-FAMILY,1977,1511,6,2.0,35839.0,2,True,False,3
PRP-0296,LOC-1571,CONDO,1958,5500,2,3.5,,2,True,True,2
PRP-0297,LOC-3552,sfr,2000,1823,4,2.5,36900.0,4,False,False,2
PRP-0298,LOC-4633,Condo,2001,707,3,1.5,350.0,1,False,True,2
PRP-0299,LOC-4233,sfr,1949,3890,4,4.5,34616.0,3,False,False,3
PRP-0300,LOC-0441,Single Family Home,1984,424,5,2.0,18478.0,4,False,False,1
PRP-0301,LOC-3723,townhouse,1993,1964,6,1.5,25295.0,1,True,True,3
PRP-0302,LOC-1344,Single Family Home,1922,3556,1,4.0,44135.0,0,False,True,3
PRP-0303,LOC-3287,Town House,1927,6408,1,2.0,26992.0,4,False,False,1
PRP-0304,LOC-1961,Land,1999,4943,3,1.0,358059.0,0,False,True,3
PRP-0305,LOC-0170,Condominium,2019,3603,4,2.5,,4,False,True,1
PRP-0306,LOC-3205,SINGLE-FAMILY,1970,5278,6,3.5,4886.0,3,False,False,1
PRP-0307,LOC-0218,Town House,2003,3301,1,5.0,44309.0,0,True,True,3
PRP-0308,LOC-1531,condominium,1966,2186,1,4.0,,0,False,True,2
PRP-0309,LOC-0638,LAND,1994,7700,4,3.0,168383.0,4,True,True,1
PRP-0310,LOC-0106,Single Family Home,2009,939,4,1.0,26366.0,1,False,True,2
PRP-0311,LOC-2544,SINGLE-FAMILY,1998,1363,7,5.0,9180.0,4,False,False,2
PRP-0312,LOC-0768,condominium,1977,517,2,2.0,,3,True,True,1
PRP-0313,LOC-0333,TOWNHOUSE,1955,3995,3,3.5,3526.0,1,False,False,3
PRP-0314,LOC-1084,Multi-Family,1942,3123,7,4.5,25226.0,4,True,True,3
PRP-0315,LOC-1745,condominium,1974,3624,1,2.5,120.0,3,True,False,2
PRP-0316,LOC-0615,MULTI-FAMILY,1960,4266,3,2.5,23298.0,1,True,False,2
PRP-0317,LOC-1400,single family,1927,4467,1,5.0,8858.0,3,False,True,3
PRP-0318,LOC-0026,Single Family Home,1951,4821,1,1.0,9580.0,1,True,True,1
PRP-0319,LOC-4893,Single-Family,2007,7057,7,4.0,2631.0,4,True,False,2
PRP-0320,LOC-3282,condominium,1971,4780,7,3.5,,0,False,True,2
PRP-0321,LOC-2300,Multi Family,1948,2959,3,5.5,5144.0,4,True,False,3
