location_id,street_address,city,state,zip_code,county,latitude,longitude,metro_area
LOC-0033,478 Walker Turnpike Apt. 244,Cincinnati,OH,54444,Blanchard County,33.408947,-115.776761,Columbus Metro
LOC-0034,46273 David Harbor Suite 195,los angeles,CA,53652,Perkins County,36.944652,-115.510382,Los Angeles Metro
LOC-0035,7158 Megan Estates Apt. 257,Lakewood,CO,61505,Johns County,42.004345,-106.943642,Denver Metro
LOC-0036,2045 Fields Knolls,Durham,NC,49294,Williams County,25.38265,-105.119343,Charlotte Metro
LOC-0037,183 Kathy Rapid Apt. 855,Peoria,IL,9247,Serrano County,35.915575,-68.87697,Chicago Metro
LOC-0038,5189 Morrow Bridge Apt. 845,Grand Rapids,MI,86483,Maxwell County,37.057344,-82.892578,Detroit Metro
LOC-0039,2132 Marie Underpass Apt. 671,Glendale,AZ,85047,Wilson County,27.527597,-122.92057,Phoenix Metro
LOC-0040,75452 Preston Ranch,Norfolk,VA,90147,Mills County,45.074807,-82.057276,Washington DC Metro
LOC-0041,40132 Hailey Inlet Apt. 321,Syracuse,NY,96799,Coleman County,33.66697,-69.468927,New York Metro
LOC-0042,07603 Antonio Shoals,Greensboro,NC,99226,Palmer County,40.946206,-89.225635,Charlotte Metro
LOC-0043,1401 Contreras Throughway,Greensboro,NC,49008,Davis County,41.212722,-84.656325,Charlotte Metro
LOC-0044,393 Ellen Burgs,Cary,NC,47721,Davis County,40.562312,-102.357431,Charlotte Metro
LOC-0045,552 William Cliff Apt. 908,Redmond,WA,15513,Robinson County,41.42525,-104.25728,Seattle Metro
LOC-0046,2801 Samantha Vista,Augusta,GA,80592,Zimmerman County,37.926414,-108.517576,Atlanta Metro
LOC-0047,927 Henry Knoll Suite 638,BUFFALO,NY,79604,Perez County,30.355241,-118.288716,New York Metro
LOC-0048,1718 Tyler Lake,Lakewood,NJ,82135,Bush County,28.632645,-86.785111,New York Metro
LOC-0049,57164 Burke Inlet,Jersey City,NJ,47649,Mcdaniel County,39.855652,-72.247593,New York Metro
LOC-0050,86463 Patricia Unions Suite 520,Fayetteville,NC,14888,Lutz County,29.02649,-73.712037,Charlotte Metro
LOC-0051,167 David Locks Suite 912,Chandler,AZ,34420,Brown County,47.129022,,Phoenix Metro
LOC-0052,3961 Mary Stream,Ann  Arbor,MI,53914,Porter County,47.749288,-93.031872,Detroit Metro
LOC-0053,657 Archer Pass Suite 271,Scottsdale,AZ,35272,Martinez County,32.605734,-82.326204,Phoenix Metro
LOC-0054,3201 Maria Parks Apt. 269,Fresno,CA,48669,Shelton County,42.417503,-113.99679,Los Angeles Metro
LOC-0055,9911 Sparks Flats,Chandler,AZ,21368,Carter County,27.193857,-68.043944,Phoenix Metro
LOC-0056,8485 Stephanie Bypass Suite 167,San Diego,CA,68554,Edwards County,46.942801,,Los Angeles Metro
LOC-0057,7002 Dyer Expressway Suite 624,Paterson,NJ,18142,Baldwin County,35.704085,-114.896141,New York Metro
LOC-0058,97889 Alvarez Walk Apt. 806,Thornton,CO,25389,Baker County,46.634619,-103.049998,Denver Metro
LOC-0059,545 Anthony Cape Apt. 559,Augusta,GA,89395,Johnson County,41.144637,-71.970577,Atlanta Metro
LOC-0060,1655 Bell Shore Apt. 334,Tucson,AZ,99173,Watkins County,45.082106,-119.333393,Phoenix Metro
LOC-0061,1520 Johnson Shoals,Fort  Worth,TX,81781,Boyer County,29.649606,-93.410371,Dallas-Fort Worth Metro
LOC-0062,0790 Gray Loaf Suite 917,Atlanta,GA,86434,Garcia County,45.674455,-98.607487,Atlanta Metro
LOC-0063,7852 Cox Mews,Toledo,OH,83242,Harris County,43.559053,-82.773035,Columbus Metro
LOC-0064,344 Kenneth Ports,Norfolk,VA,15936,Morales County,41.108852,-93.15368,Washington DC Metro
LOC-0065,191 Nelson Port,fort collins,CO,63591,Solis County,28.114864,-87.433075,Denver Metro
LOC-0066,3514 Reynolds Plains Suite 366,Erie,PA,59479,King County,40.702798,-86.277825,Philadelphia Metro
LOC-0067,820 Barbara Forest Suite 489,Philadelphia,PA,80419,Farrell County,27.928983,-68.212711,Philadelphia Metro
LOC-0068,083 Ford Garden Apt. 466,Joliet,IL,81361,Flores County,33.723359,-110.909148,Chicago Metro
LOC-0069,364 Lucas Glens,Yonkers,NY,14222,Mcdaniel County,34.642534,,New York Metro
LOC-0070,3123 John Views,New  York,NY,14400,Collins County,40.456544,-74.283892,New York Metro
LOC-0071,660 Erik Dale Apt. 448,Augusta,GA,17398,Thompson County,47.850119,-110.652794,Atlanta Metro
LOC-0072,700 Lee Hills,Ann Arbor,MI,52030,Camacho County,45.153941,-67.815353,Detroit Metro
LOC-0073,1623 Ashley Parkway Apt. 898,Chicago,IL,87550,King County,45.966286,-88.318391,Chicago Metro
LOC-0074,91559 Shaffer Summit,Scranton,PA,78742,Young County,34.575467,-115.494596,Philadelphia Metro
LOC-0075,21234 Ortiz Wall Apt. 785,Augusta,GA,49418,Lyons County,28.32009,-97.607566,Atlanta Metro
LOC-0076,8673 Suarez Drive,Akron,OH,60910,Cox County,29.676745,-87.137766,Columbus Metro
LOC-0077,0900 Johnny Lights Suite 518,Fort Worth,TX,3496,Camacho County,33.674863,-89.516742,Dallas-Fort Worth Metro
LOC-0078,0644 Sharon Throughway Apt. 432,Redmond,WA,98008,Moon County,36.026067,-74.43999,Seattle Metro
LOC-0079,604 Madeline Overpass Suite 656,San Francisco,CA,25376,Mcdowell County,42.349607,-71.876846,Los Angeles Metro
LOC-0080,48156 Chavez Burgs,Cleveland,OH,47101,Gill County,37.273953,-103.522205,Columbus Metro
LOC-0081,720 Gonzalez Inlet,SAVANNAH,GA,71537,Edwards County,32.365366,-112.421733,Atlanta Metro
LOC-0082,23829 Sparks Island,Tucson,AZ,12125,Hayes County,46.49944,-90.988853,Phoenix Metro
LOC-0083,2954 Christopher Land,Pittsburgh,PA,42208,White County,40.055983,-84.963743,Philadelphia Metro
LOC-0084,300 Rebecca Mountain Apt. 420,Alexandria,VA,70401,Morales County,43.284437,-114.351854,Washington DC Metro
LOC-0085,421 Jackson Port Apt. 086,Lakewood,CO,17698,Ayala County,44.298575,-119.763167,Denver Metro
LOC-0086,713 James Wall Suite 476,Sacramento,CA,92667,Anderson County,41.2649,-123.478937,Los Angeles Metro
LOC-0087,343 White Turnpike,Lansing,MI,90808,Thomas County,40.16354,-123.103289,Detroit Metro
LOC-0088,3973 Aguilar Rue Suite 107,San Jose,CA,80220,Anderson County,25.39428,-77.650038,Los Angeles Metro
LOC-0089,636 Fitzgerald Glens Apt. 180,Colorado  Springs,CO,22624,Williams County,30.542283,-88.672492,Denver Metro
LOC-0090,5990 Jon River,VANCOUVER,WA,63218,James County,30.593782,-84.25753,Seattle Metro
LOC-0091,528 Beverly Green Apt. 875,El Paso,TX,95182,Humphrey County,27.150512,-102.381951,Dallas-Fort Worth Metro
LOC-0092,58624 Lawrence Crossroad,Fresno,CA,75517,Porter County,39.832867,-105.117575,Los Angeles Metro
LOC-0093,564 Austin Trace Suite 856,Lakewood,CO,40115,Stafford County,44.966688,-73.409404,Denver Metro
LOC-0094,728 Brown Drive Apt. 320,El Paso,TX,81176,Harrison County,25.756741,-71.060317,Dallas-Fort Worth Metro
LOC-0095,761 Williams Knolls,Grand Rapids,MI,62205,Zhang County,31.883368,-91.854383,Detroit Metro
LOC-0096,7121 Davis Ways Suite 228,Edison,NJ,28343,Carson County,40.854142,-119.529622,New York Metro
LOC-0097,089 Robert Club,San Antonio,TX,19963,Sanchez County,42.68713,-69.573071,Dallas-Fort Worth Metro
LOC-0098,150 Maldonado Springs Apt. 659,Fresno,CA,69054,Hickman County,33.183658,-70.354858,Los Angeles Metro
LOC-0099,2017 Gibson Grove,ELIZABETH,NJ,91083,Wheeler County,30.668345,-119.810119,New York Metro
LOC-0100,0975 Jason Causeway,Kirkland,WA,61068,Solis County,27.450671,-123.703872,Seattle Metro
LOC-0101,0189 Davis Glens Apt. 361,Chicago,IL,34561,Smith County,37.810656,-94.790872,Chicago Metro
LOC-0102,66421 Henry Meadows,Charlotte,NC,52523,Fitzgerald County,25.283834,-100.412826,Charlotte Metro
LOC-0103,925 Marilyn Passage Apt. 776,Raleigh,NC,32227,Alvarez County,28.89854,-108.671619,Charlotte Metro
LOC-0104,65926 Davis Passage Suite 732,Jacksonville,FL,49289,Arias County,26.769191,-109.653115,Miami Metro
LOC-0105,7617 Hernandez Crossroad,Ann Arbor,MI,24021,Sutton County,25.155649,-101.445557,Detroit Metro
LOC-0106,86490 Samantha Passage Apt. 866,Mesa,AZ,66441,Davis County,44.768695,-68.469154,Phoenix Metro
LOC-0107,4918 Daniel Shore Suite 226,Norfolk,VA,33283,Williams County,47.28068,-107.387455,Washington DC Metro
LOC-0108,459 Todd Mission Suite 523,Flint,MI,59290,Lopez County,43.07493,-103.194114,Detroit Metro
LOC-0109,168 Adam Crescent Apt. 277,Raleigh,NC,8210,Holt County,41.725907,-70.25043,Charlotte Metro
LOC-0110,9956 Miller Dale Apt. 310,GLENDALE,AZ,63627,Horton County,28.20112,-106.738539,Phoenix Metro
LOC-0111,37236 Christopher Trail,Parma,OH,68860,Ford County,36.022398,-101.154109,Columbus Metro
LOC-0112,0122 Maynard Mountains Apt. 793,Richmond,VA,57124,Harris County,43.68283,-90.152263,Washington DC Metro
LOC-0113,50166 Mclaughlin Ranch Suite 076,Yonkers,NY,31802,Tucker County,26.018824,-67.934332,New York Metro
LOC-0114,08069 Tran Grove Suite 717,Tacoma,WA,N/A,Dean County,27.267951,-111.345938,Seattle Metro
LOC-0115,6024 Taylor Mill Apt. 839,Newport News,VA,59036,Stout County,42.763871,-90.450372,Washington DC Metro
LOC-0116,724 Moyer Village Suite 729,Sacramento,CA,64522,Clark County,26.97466,-76.614889,Los Angeles Metro
LOC-0117,722 Eric Overpass,Erie,PA,78303,Garcia County,35.951738,-99.024542,Philadelphia Metro
LOC-0118,4338 Yvette Knolls Suite 522,Chicago,IL,2508,Clayton County,32.890793,-117.766327,Chicago Metro
LOC-0119,56193 Anna Oval,Norfolk,VA,82339,Scott County,37.876526,-69.367631,Washington DC Metro
LOC-0120,0842 Jasmine Mill Suite 119,Orlando,FL,66640,Lynch County,41.959932,-73.66345,Miami Metro
LOC-0121,081 Crystal Ways,Fresno,CA,46483,Harris County,43.600785,-120.433866,Los Angeles Metro
LOC-0122,47871 Deborah Isle Apt. 137,Tampa,FL,N/A,Montes County,40.426133,-96.099413,Miami Metro
LOC-0123,75482 Joseph Stravenue,Akron,OH,24972,Fischer County,44.446909,-88.810327,Columbus Metro
LOC-0124,328 Cobb Dam Suite 667,Rockford,IL,98094,Crane County,27.710818,-106.59334,Chicago Metro
LOC-0125,72081 Matthew Locks Apt. 606,Durham,NC,28070,Malone County,34.729892,-96.259798,Charlotte Metro
LOC-0126,084 Morales Springs,Colorado Springs,CO,74178,Haynes County,29.303267,-76.006843,Denver Metro
LOC-0127,550 Mccullough Ridge Apt. 673,Sacramento,CA,60324,Clay County,36.625074,-95.786719,Los Angeles Metro
LOC-0128,563 Miller Plain Suite 628,Chandler,AZ,20835,Braun County,43.30526,-111.429818,Phoenix Metro
LOC-0129,18848 Sherman Estate Apt. 089,Aurora,IL,84140,Green County,42.61615,-92.665607,Chicago Metro
LOC-0130,681 Mckenzie Green Suite 101,Bellevue,WA,58085,West County,42.406084,-80.679765,Seattle Metro
LOC-0131,5399 Michael Haven,Columbus,OH,95678,Estrada County,31.847306,-67.039178,Columbus Metro
LOC-0132,683 Mark Prairie,Phoenix,AZ,25386,Lee County,30.449759,-77.789945,Phoenix Metro
LOC-0133,1266 Christopher Manors Apt. 737,Newport News,VA,31755,Miller County,43.051534,-77.628798,Washington DC Metro
LOC-0134,886 Silva Roads Suite 776,Greensboro,NC,32069,Colon County,41.193237,-107.508005,Charlotte Metro
LOC-0135,277 Tammy Passage,Thornton,CO,27771,Boyer County,43.070894,-71.630183,Denver Metro
LOC-0136,377 Julie Points,Naples,FL,42725,Wood County,32.408224,-109.88938,Miami Metro
LOC-0137,611 Armstrong Canyon,Fort Lauderdale,FL,92288,Mills County,35.39581,-87.883217,Miami Metro
LOC-0138,4544 Johnson Divide,Fayetteville,NC,58374,Thomas County,36.225023,-90.828534,Charlotte Metro
LOC-0139,44327 David Keys Apt. 067,El Paso,TX,93209,Berry County,33.239123,-120.390151,Dallas-Fort Worth Metro
LOC-0140,6792 William Mount Suite 725,Parma,OH,45197,Davis County,31.522641,-92.803299,Columbus Metro
LOC-0141,3658 Susan Mills Suite 120,Tacoma,WA,1634,Armstrong County,,-76.307976,Seattle Metro
LOC-0142,181 Stephanie Plains Apt. 983,Jacksonville,FL,66072,Christensen County,40.837613,-116.480954,Miami Metro
LOC-0143,82043 Maria Villages,AURORA,CO,57242,Clay County,33.552407,-72.483385,Denver Metro
LOC-0144,89569 Travis Brooks Suite 626,Springfield,IL,40689,Johnson County,27.097581,-118.57453,Chicago Metro
LOC-0145,4111 Justin Falls Suite 124,Grand Rapids,MI,6833,Farley County,40.998733,-77.424785,Detroit Metro
LOC-0146,95200 Price Island,JACKSONVILLE,FL,60209-2678,Thomas County,27.373635,-103.048984,Miami Metro
LOC-0147,6103 Karen Radial Apt. 788,Tempe,AZ,94092,Cruz County,,-93.761028,Phoenix Metro
LOC-0148,0578 Jones Burgs,Columbus,GA,92323,Russell County,46.157565,-88.883667,Atlanta Metro
LOC-0149,48913 Kevin Lodge,Denver,CO,26142,Griffin County,33.832734,-69.094823,Denver Metro
LOC-0150,58238 Ali Point,SPRINGFIELD,IL,82534,Hayes County,41.587132,-107.759514,Chicago Metro
LOC-0151,9420 Sarah Orchard,Glendale,AZ,36928,Nelson County,36.719019,-81.372912,Phoenix Metro
LOC-0152,653 Williams Streets Apt. 416,Arvada,CO,74865,Hale County,30.54488,-87.629307,Denver Metro
LOC-0153,846 Cheryl Unions,San Diego,CA,27299,Flores County,44.296386,-100.010779,Los Angeles Metro
LOC-0154,474 Eileen Islands Suite 379,MACON,GA,86986-5295,Murphy County,29.962088,-71.412981,Atlanta Metro
LOC-0155,097 Rachel Spring,Springfield,IL,64451,Thompson County,34.25238,-87.489375,Chicago Metro
LOC-0156,8118 Patricia Via Suite 156,AUSTIN,TX,36633,Carey County,28.573674,-105.375233,Dallas-Fort Worth Metro
LOC-0157,2017 Mayer Mills Apt. 304,Woodbridge,NJ,50654,Becker County,41.789043,-75.751317,New York Metro
LOC-0158,19433 Coffey Camp Suite 793,Columbus,OH,8980,Smith County,40.31983,,Columbus Metro
LOC-0159,49872 Donna Port Apt. 192,naples,FL,75065,Reese County,37.029123,-79.369735,Miami Metro
LOC-0160,9384 Melanie Brooks,Naples,FL,45227,Braun County,27.715305,-72.705847,Miami Metro
LOC-0161,870 Davidson Run Apt. 566,Charlotte,NC,85582,Hill County,36.411394,-94.885433,Charlotte Metro
LOC-0162,5803 Joshua Manor Suite 506,Tampa,FL,23487,Lee County,40.50477,,Miami Metro
LOC-0163,036 Sally Flat,tempe,AZ,16026,Martin County,33.808528,-115.445174,Phoenix Metro
LOC-0164,10760 Pittman Gateway Apt. 735,Cary,NC,95944,Wall County,32.401446,-100.273374,Charlotte Metro
LOC-0165,319 Duran Road Suite 911,Fort Worth,TX,75803,Villegas County,26.211459,-111.278452,Dallas-Fort Worth Metro
LOC-0166,5120 Brown Ridge,Columbus,OH,47002,Sims County,32.146049,-119.076025,Columbus Metro
LOC-0167,08046 Davis Terrace,Rockford,IL,91620,Jenkins County,33.470293,-68.604109,Chicago Metro
LOC-0168,6769 Matthew Spring,Newport News,VA,42129,Logan County,46.445143,-122.637115,Washington DC Metro
LOC-0169,593 Curtis Ranch Apt. 939,Virginia Beach,VA,10191,Martinez County,33.654321,-81.929288,Washington DC Metro
LOC-0170,6797 John Union Apt. 024,Albany,NY,17850,Silva County,28.27459,-108.04996,New York Metro
LOC-0171,9822 Parker Junctions Suite 508,Scottsdale,AZ,58823,Willis County,42.201686,-90.896074,Phoenix Metro
LOC-0172,38806 Gonzalez Flats,Columbus,OH,18163,Davidson County,47.17702,-110.504011,Columbus Metro
LOC-0173,53779 Christian Port,Vancouver,WA,52762,Mccarty County,31.254985,-119.742816,Seattle Metro
LOC-0174,5217 Tyler Alley Apt. 379,Detroit,MI,31544,Lewis County,32.222766,-117.118006,Detroit Metro
LOC-0175,563 Lopez Avenue Suite 015,Columbus,GA,25717-5984,Johnson County,44.006894,-84.277955,Atlanta Metro
LOC-0176,47395 Theresa Flat,PITTSBURGH,PA,42534,Gonzalez County,34.113623,-121.209815,Philadelphia Metro
LOC-0177,42583 James Fall,Miami,FL,69270,Cameron County,37.652781,-118.600659,Miami Metro
LOC-0178,26153 Bryant Land,HOUSTON,TX,39135,Pacheco County,43.944489,-102.782335,Dallas-Fort Worth Metro
LOC-0179,961 Drew Curve,Ann Arbor,MI,1982,Norton County,26.482857,-72.557723,Detroit Metro
LOC-0180,655 Rowland Gardens,Arvada,CO,53456,Mccall County,46.672455,-121.113651,Denver Metro
LOC-0181,425 Brian Underpass,Richmond,VA,60165,Ramirez County,28.974566,-111.761182,Washington DC Metro
LOC-0182,973 Kristen Turnpike,colorado springs,CO,91156,Alvarado County,39.887403,-95.563178,Denver Metro
LOC-0183,86857 White Station,Austin,TX,64949,Brooks County,45.347008,-94.028599,Dallas-Fort Worth Metro
LOC-0184,774 Little Turnpike Apt. 333,Seattle,WA,57069,Hayes County,42.973007,-104.390055,Seattle Metro
LOC-0185,3466 Selena Landing,aurora,IL,88265,Scott County,45.60259,-79.623318,Chicago Metro
LOC-0186,14785 Brandy Mountain,Greensboro,NC,40508,Hunt County,27.30309,-86.558728,Charlotte Metro
LOC-0187,7766 Ballard Island Suite 602,THORNTON,CO,38758,Alexander County,47.601287,-101.859916,Denver Metro
LOC-0188,151 Kirby Passage Apt. 431,Orlando,FL,51681,Wilson County,41.045411,-71.90314,Miami Metro
LOC-0189,83535 Turner Via Suite 392,Ann  Arbor,MI,34672,Murillo County,43.639227,-68.687901,Detroit Metro
LOC-0190,44566 Thomas Passage Apt. 633,LOS ANGELES,CA,88861,Cummings County,37.108316,-123.961041,Los Angeles Metro
LOC-0191,3898 Sharp Mountain,Tampa,FL,5241,Peterson County,28.397376,-83.832309,Miami Metro
LOC-0192,3663 Cole Point,Cary,NC,19506,Johnson County,46.664234,-101.451053,Charlotte Metro
LOC-0193,240 Cochran Village,Orlando,FL,67261,Gomez County,47.095228,-86.996725,Miami Metro
LOC-0194,6684 Matthews Port,Newport News,VA,39260,Floyd County,43.732447,-102.432106,Washington DC Metro
LOC-0195,59999 Baird Ford,naples,FL,85082,Fry County,47.868512,-68.984515,Miami Metro
LOC-0196,637 Mark Mission,Arvada,CO,38953,Fowler County,27.394535,-95.717452,Denver Metro
LOC-0197,21820 Johnson Flat Apt. 643,Allentown,PA,21629,Hall County,40.410565,,Philadelphia Metro
LOC-0198,0580 Mark Loop,Buffalo,NY,55938,Myers County,27.484796,-123.926974,New York Metro
LOC-0199,86716 David Ford,Jacksonville,FL,59638,Collins County,33.632994,-76.758002,Miami Metro
LOC-0200,99493 Hill Avenue Apt. 716,Kirkland,WA,69151-1547,Jacobs County,31.782898,-105.833136,Seattle Metro
LOC-0201,597 Ford Canyon,Jacksonville,FL,19830,Mclaughlin County,45.656856,-118.693033,Miami Metro
LOC-0202,754 Austin Valleys Apt. 632,sandy springs,GA,95673,Yoder County,45.464325,-115.045085,Atlanta Metro
LOC-0203,6291 Hale Cape Apt. 248,Albany,NY,80795,Carter County,31.475031,-110.459748,New York Metro
LOC-0204,376 Wanda Club,Chandler,AZ,5729,Campos County,27.015452,-77.037853,Phoenix Metro
LOC-0205,7243 Steven Cliffs Suite 656,Houston,TX,93648,Foley County,26.88453,-75.905163,Dallas-Fort Worth Metro
LOC-0206,04125 Washington Cliff Apt. 837,Sandy Springs,GA,94130,Taylor County,29.252268,-73.526917,Atlanta Metro
LOC-0207,20912 Martinez Streets Suite 210,Joliet,IL,39654,Byrd County,37.977672,-115.385552,Chicago Metro
LOC-0208,5230 Scott Causeway,Paterson,NJ,64262,Copeland County,38.563708,-92.444691,New York Metro
LOC-0209,4709 Brandon Lane,Akron,OH,72236,Wang County,30.419766,-106.96543,Columbus Metro
LOC-0210,3310 Johnson Bridge,San Jose,CA,77740,Rogers County,40.583302,-88.644432,Los Angeles Metro
LOC-0211,131 Jennifer Cape,Orlando,FL,35260,Perry County,34.737623,-67.668044,Miami Metro
LOC-0212,5839 Sarah Locks,Jersey City,NJ,43801,Mcmillan County,41.723369,-77.981411,New York Metro
LOC-0213,31552 Richard Island,Greensboro,NC,78116,Smith County,45.089724,-79.166614,Charlotte Metro
LOC-0214,3149 Williams Forge,Columbus,OH,29424,Jenkins County,38.401573,-69.004595,Columbus Metro
LOC-0215,89241 Jarvis Square Suite 252,Seattle,WA,80206,Reid County,45.191552,-108.944212,Seattle Metro
LOC-0216,715 Charlotte Prairie Suite 683,Atlanta,GA,62818,Gordon County,38.999071,-84.461309,Atlanta Metro
LOC-0217,09143 Todd River,Scranton,PA,72287,Miller County,45.631721,-122.846725,Philadelphia Metro
LOC-0218,7432 Harris Camp,Peoria,IL,99764-4734,Young County,28.090867,-68.469493,Chicago Metro
LOC-0219,524 Schneider Trace Apt. 864,Springfield,IL,94614-8237,Christensen County,29.861982,-77.033742,Chicago Metro
LOC-0220,553 Amber Shores,Mesa,AZ,77537,Mcneil County,26.50919,-83.554544,Phoenix Metro
LOC-0221,685 Scott Avenue,winston-salem,NC,35265,Brown County,29.616716,-120.715232,Charlotte Metro
LOC-0222,30232 Glenn Plaza Apt. 381,Scranton,PA,58280,Simmons County,36.617907,-87.781641,Philadelphia Metro
LOC-0223,2336 Catherine Hollow Suite 973,Erie,PA,33276,Nelson County,35.915393,-92.573978,Philadelphia Metro
LOC-0224,56627 Henderson Ridge Suite 270,Springfield,IL,21847,Gill County,33.89101,-114.714278,Chicago Metro
LOC-0225,49828 Jonathan Mountain Suite 746,Tucson,AZ,98826,Hart County,39.986509,-94.74297,Phoenix Metro
LOC-0226,52732 Adam Wall Suite 766,Newark,NJ,27342,Bentley County,38.826265,-123.517568,New York Metro
LOC-0227,7491 Dyer Crossing Suite 923,Springfield,IL,94245,Hines County,45.596108,-75.459588,Chicago Metro
LOC-0228,587 Horton Run Suite 633,Springfield,IL,91737,Woods County,27.353178,-94.843718,Chicago Metro
LOC-0229,024 Blackburn Drive Suite 399,Reading,PA,89829,Lynn County,40.741502,-96.54091,Philadelphia Metro
LOC-0230,11669 April Field,Bethlehem,PA,95998,Liu County,45.524597,-106.968907,Philadelphia Metro
LOC-0231,4488 Willis Street,Denver,CO,88647,Jenkins County,32.350472,-116.024018,Denver Metro
LOC-0232,95243 Hale Avenue,Naperville,IL,63031,Benitez County,25.812337,-83.640069,Chicago Metro
LOC-0233,11686 Quinn Extension Apt. 522,Alexandria,VA,80075,Gonzalez County,35.94191,-70.381927,Washington DC Metro
LOC-0234,179 Jacob Circle,Sarasota,FL,83170,Brady County,27.24487,-116.707184,Miami Metro
LOC-0235,6791 Christopher Corner,Spokane,WA,53992,Gray County,30.111831,-111.270308,Seattle Metro
LOC-0236,50937 Chambers Courts Apt. 040,Aurora,CO,86751,Ortega County,44.577919,-97.179416,Denver Metro
LOC-0237,38069 Frederick Mountains,Detroit,MI,35499,Sherman County,44.952448,-102.244854,Detroit Metro
LOC-0238,5553 Ortega Lane Apt. 551,Tucson,AZ,36253,Smith County,47.705407,-73.107828,Phoenix Metro
LOC-0239,209 Misty Harbors Apt. 579,Glendale,AZ,20592,Parks County,39.513754,,Phoenix Metro
LOC-0240,630 Smith Lake Apt. 573,Aurora,IL,32099,Lawson County,28.644008,-79.242978,Chicago Metro
LOC-0241,915 Crosby Mountains Apt. 649,Dayton,OH,66233,Lee County,33.816278,-121.849657,Columbus Metro
LOC-0242,980 Tyler Corners,San Diego,CA,79603,Turner County,40.565207,-88.278845,Los Angeles Metro
LOC-0243,71783 Jason Terrace Apt. 160,Allentown,PA,60272,Martin County,32.040647,-120.27864,Philadelphia Metro
